23021pPBRrp17,,
Wavelength [nm],Reflectance,Uncertainty
300,0.000990035,0.000123406
325,0.001571919,8.72612E-05
350,0.001429713,8.30336E-05
375,0.001281473,9.26713E-05
400,0.0011343,6.53067E-05
425,0.001030321,5.93688E-05
450,0.000937138,5.26995E-05
475,0.000857189,4.91682E-05
500,0.000787562,4.45391E-05
550,0.000684996,3.78828E-05
600,0.000590963,3.07374E-05
650,0.00051528,2.7413E-05
700,0.000460127,2.4215E-05
750,0.000424183,2.08545E-05
800,0.000382554,1.93739E-05
850,0.000347723,1.59522E-05
900,0.000331811,1.66767E-05
950,0.000307663,1.31722E-05
1000,0.000277856,1.1439E-05
1100,0.000270703,1.00265E-05
1200,0.000256681,9.396E-06
1400,0.000218198,6.48874E-06
1600,0.000200354,5.56182E-06
1700,0.000199673,1.13501E-05
2000,0.000277022,0.000240289
2200,0.000204201,0.000302256
2500,0.00019691,3.35189E-05
3000,0.000148817,7.14937E-05
3500,0.000206065,0.000100534
4000,0.0002353,4.8013E-05
4500,0.000245963,9.96226E-05
5000,0.000326758,2.53094E-05
6000,0.000376029,7.35053E-05
7000,0.000485677,8.1771E-05
8000,0.001042012,6.00449E-05
9000,0.000847098,6.13058E-05
10000,0.001077814,1.79642E-05
11000,0.001393532,0.000125473
12000,0.001477683,9.54822E-05
13000,0.002149302,0.000380917
14000,0.001960216,1.21792E-05
15000,0.000888496,3.48159E-05
16000,0.000618928,5.13778E-05
