Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
1.00E-07,0.999807015,0.1
1.01E-07,0.999805679,0.1
1.01E-07,0.999804329,0.1
1.02E-07,0.999802974,0.1
1.03E-07,0.999801607,0.1
1.04E-07,0.99980023,0.1
1.04E-07,0.99979884,0.1
1.05E-07,0.999797449,0.1
1.06E-07,0.999796043,0.1
1.06E-07,0.999794624,0.1
1.07E-07,0.999793207,0.1
1.08E-07,0.999791768,0.1
1.09E-07,0.999790321,0.1
1.09E-07,0.999788863,0.1
1.10E-07,0.999787403,0.1
1.11E-07,0.999785926,0.1
1.12E-07,0.999784442,0.1
1.12E-07,0.999782949,0.1
1.13E-07,0.999781439,0.1
1.14E-07,0.999779922,0.1
1.15E-07,0.999778394,0.1
1.16E-07,0.999776857,0.1
1.16E-07,0.99977531,0.1
1.17E-07,0.999773751,0.1
1.18E-07,0.999772185,0.1
1.19E-07,0.9997706,0.1
1.20E-07,0.999769007,0.1
1.21E-07,0.999767399,0.1
1.21E-07,0.999765786,0.1
1.22E-07,0.999764158,0.1
1.23E-07,0.999762532,0.1
1.24E-07,0.999760887,0.1
1.25E-07,0.999759225,0.1
1.26E-07,0.999757551,0.1
1.27E-07,0.999755865,0.1
1.27E-07,0.999754177,0.1
1.28E-07,0.999752472,0.1
1.29E-07,0.999750755,0.1
1.30E-07,0.999749024,0.1
1.31E-07,0.999747276,0.1
1.32E-07,0.999745526,0.1
1.33E-07,0.999743761,0.1
1.34E-07,0.999741988,0.1
1.35E-07,0.999740199,0.1
1.36E-07,0.99973839,0.1
1.37E-07,0.999736577,0.1
1.37E-07,0.999734745,0.1
1.38E-07,0.999732909,0.1
1.39E-07,0.999731059,0.1
1.40E-07,0.999729198,0.1
1.41E-07,0.999727306,0.1
1.42E-07,0.999725423,0.1
1.43E-07,0.999723508,0.1
1.44E-07,0.999721593,0.1
1.45E-07,0.99971966,0.1
1.46E-07,0.999717709,0.1
1.47E-07,0.999715749,0.1
1.48E-07,0.999713791,0.1
1.49E-07,0.999711797,0.1
1.50E-07,0.999709809,0.1
1.51E-07,0.999707784,0.1
1.52E-07,0.999705761,0.1
1.54E-07,0.999703715,0.1
1.55E-07,0.999701665,0.1
1.56E-07,0.999699591,0.1
1.57E-07,0.999697513,0.1
1.58E-07,0.999695409,0.1
1.59E-07,0.999693301,0.1
1.60E-07,0.999691162,0.1
1.61E-07,0.999689025,0.1
1.62E-07,0.999686868,0.1
1.63E-07,0.99968469,0.1
1.65E-07,0.999682511,0.1
1.66E-07,0.999680302,0.1
1.67E-07,0.999678085,0.1
1.68E-07,0.999675853,0.1
1.69E-07,0.999673616,0.1
1.70E-07,0.999671347,0.1
1.71E-07,0.999669058,0.1
1.73E-07,0.999666761,0.1
1.74E-07,0.999664449,0.1
1.75E-07,0.999662117,0.1
1.76E-07,0.999659772,0.1
1.78E-07,0.999657418,0.1
1.79E-07,0.999655034,0.1
1.80E-07,0.999652634,0.1
1.81E-07,0.999650238,0.1
1.82E-07,0.999647819,0.1
1.84E-07,0.999645376,0.1
1.85E-07,0.9996429,0.1
1.86E-07,0.999640436,0.1
1.88E-07,0.999637931,0.1
1.89E-07,0.999635431,0.1
1.90E-07,0.999632887,0.1
1.92E-07,0.999630342,0.1
1.93E-07,0.999627789,0.1
1.94E-07,0.999625189,0.1
1.96E-07,0.999622602,0.1
1.97E-07,0.999619992,0.1
1.98E-07,0.999617331,0.1
2.00E-07,0.999614691,0.1
2.01E-07,0.999612007,0.1
2.02E-07,0.999609313,0.1
2.04E-07,0.999606603,0.1
2.05E-07,0.999603871,0.1
2.07E-07,0.999601126,0.1
