wavelength [nm],signal
197.185,0.002
197.39,0.002
197.594,0.001
197.798,-0.002
198.002,0.002
198.206,0.001
198.41,0.003
198.614,0.001
198.818,0.005
199.022,0.001
199.227,0.002
199.431,0.001
199.635,0.001
199.839,0.003
200.043,0.004
200.248,0.001
200.452,0.003
200.656,0
200.861,0.003
201.065,0
201.269,0.004
201.474,0.002
201.678,0.003
201.882,0.002
202.087,0.003
202.291,0.002
202.496,0.003
202.7,0.001
202.904,0.003
203.109,0.004
203.313,0.004
203.518,0.002
203.722,0.004
203.927,0.004
204.131,0.003
204.336,-0.001
204.541,0.003
204.745,0.001
204.95,0.003
205.154,0.002
205.359,0.004
205.564,0.004
205.768,0.003
205.973,0.002
206.178,0.004
206.382,0.002
206.587,0.004
206.792,0.001
206.996,0.005
207.201,-0.001
207.406,0.002
207.611,0
207.816,0.001
208.02,0
208.225,0.002
208.43,0.001
208.635,0.002
208.84,0.001
209.045,0
209.25,0.001
209.455,0.001
209.66,0.002
209.864,0.005
210.069,-0.001
210.274,0
210.479,0.002
210.684,0.003
210.889,0.002
211.094,0.003
211.3,0.003
211.505,0.005
211.71,0.001
211.915,0.003
212.12,-0.001
212.325,0.002
212.53,0.001
212.735,0.004
212.941,0
213.146,0.001
213.351,0.001
213.556,0.003
213.761,-0.001
213.967,0.005
214.172,-0.004
214.377,0.003
214.582,0
214.788,0.001
214.993,0
215.198,0.002
215.404,0.001
215.609,0.003
215.815,0.002
216.02,0.003
216.225,-0.001
216.431,0.001
216.636,0.001
216.842,0.003
217.047,0.002
217.253,0.004
217.458,0.003
217.664,0.001
217.869,0
218.075,0.002
218.28,0.003
218.486,0.001
218.691,0.003
218.897,0.001
219.103,-0.001
219.308,0.001
219.514,0.001
219.72,0.003
219.925,0
220.131,0.004
220.337,0
220.542,0.001
220.748,0.004
220.954,0
221.16,0
221.365,0.002
221.571,0
221.777,0.002
221.983,0.001
222.189,-0.001
222.394,0
222.6,0.004
222.806,-0.001
223.012,0.001
223.218,0.002
223.424,0.002
223.63,0
223.836,0.002
224.042,0.002
224.248,0.004
224.454,-0.001
224.66,0.004
224.866,0.001
225.072,0.002
225.278,0.002
225.484,0.003
225.69,0.003
225.896,0.002
226.102,0
226.308,0.002
226.515,0.003
226.721,0.004
226.927,0.003
227.133,0.003
227.339,0
227.545,0.002
227.752,0
227.958,0.003
228.164,0
228.37,0.004
228.577,0
228.783,0.004
228.989,0
229.196,0.004
229.402,0.001
229.608,0.001
229.815,0
230.021,0.004
230.228,0.002
230.434,0.001
230.64,0
230.847,0.005
231.053,0
231.26,0.004
231.466,0.001
231.673,0.003
231.879,0.002
232.086,0.002
232.292,0.001
232.499,0.003
232.706,0.002
232.912,0.003
233.119,0
233.325,0.002
233.532,0
233.739,0.003
233.945,0.002
234.152,0.001
234.359,0.002
234.565,0.004
234.772,0.003
234.979,0.004
235.186,0.001
235.392,0.001
235.599,0.002
235.806,0.002
236.013,-0.001
236.22,0.001
236.427,0.002
236.633,0.001
236.84,0.002
237.047,0.001
237.254,0.001
237.461,0.003
237.668,0.001
237.875,0.004
238.082,0.001
238.289,0.005
238.496,0.002
238.703,0.004
238.91,-0.001
239.117,0.003
239.324,0.002
239.531,0.003
239.738,0.002
239.945,0.003
240.152,0.005
240.359,0.007
240.566,0.005
240.774,0.005
240.981,-0.001
241.188,0.002
241.395,-0.001
241.602,0.004
241.81,0
242.017,0.003
242.224,0.001
242.431,0.002
242.639,0.002
242.846,0.001
243.053,-0.002
243.26,0.003
243.468,0
243.675,0.004
243.883,0.003
244.09,0.002
244.297,0.003
244.505,0.003
244.712,0.002
244.92,0
245.127,0.001
245.334,0.001
245.542,0.001
245.749,0.004
245.957,0.001
246.164,0.006
246.372,-0.002
246.58,0.005
246.787,0.003
246.995,0.004
247.202,0.003
247.41,0.006
247.618,0.006
247.825,0.002
248.033,0.006
248.24,0.004
248.448,0.001
248.656,0.003
248.864,0.004
249.071,0.002
249.279,0.003
249.487,0.003
249.695,0.003
249.902,0.005
250.11,0.003
250.318,0.006
250.526,0.006
250.734,0.006
250.941,0.006
251.149,0.008
251.357,0.009
251.565,0.016
251.773,0.022
251.981,0.046
252.189,0.108
252.397,0.218
252.605,0.31
252.813,0.343
253.021,0.301
253.229,0.205
253.437,0.096
253.645,0.034
253.853,0.017
254.061,0.01
254.269,0.004
254.477,0.006
254.685,0.003
254.893,0.006
255.102,0.003
255.31,0.005
255.518,0.004
255.726,0.004
255.934,0.002
256.142,0.005
256.351,0.001
256.559,0.002
256.767,0.002
256.975,0.006
257.184,0.003
257.392,0.002
257.6,0.002
257.809,0.003
258.017,0.003
258.225,0.002
258.434,0.002
258.642,0.005
258.85,0
259.059,0.004
259.267,0.002
259.476,0.003
259.684,0.004
259.893,0.003
260.101,0
260.31,0.005
260.518,0.001
260.727,0.004
260.935,-0.002
261.144,0.005
261.352,0
261.561,0.003
261.77,0.005
261.978,0.002
262.187,0.001
262.395,0.003
262.604,0.001
262.813,0.002
263.021,0.002
263.23,0.004
263.439,0.001
263.648,0.003
263.856,0.005
264.065,0.005
264.274,0.006
264.483,0.006
264.691,0.005
264.9,0.004
265.109,0.001
265.318,0.005
265.527,0.003
265.736,0.004
265.944,0.002
266.153,0.002
266.362,0.002
266.571,0.005
266.78,0.004
266.989,0.002
267.198,0.002
267.407,0.001
267.616,0.004
267.825,0.003
268.034,0.001
268.243,0.002
268.452,0.002
268.661,0.005
268.87,0.003
269.079,0.002
269.289,0
269.498,0
269.707,0.002
269.916,0.003
270.125,0.002
270.334,0.003
270.543,0.002
270.753,0.003
270.962,0.003
271.171,0.002
271.38,0
271.59,0.003
271.799,0.001
272.008,0.002
272.218,-0.001
272.427,0.005
272.636,0.003
272.846,0.001
273.055,0
273.264,0.003
273.474,0.003
273.683,0.002
273.893,0.002
274.102,0.005
274.311,0.003
274.521,0.005
274.73,0.003
274.94,0.005
275.149,-0.001
275.359,0.004
275.568,0.001
275.778,0.004
275.987,0
276.197,0.001
276.407,0
276.616,0.003
276.826,0.002
277.036,0.003
277.245,0.002
277.455,0.004
277.664,-0.002
277.874,0.002
278.084,0.004
278.294,0.004
278.503,0.003
278.713,0.001
278.923,0.002
279.133,0.001
279.342,0.003
279.552,0.004
279.762,0.002
279.972,0.003
280.182,0.002
280.392,0.001
280.601,0.002
280.811,0.005
281.021,0.002
281.231,0.004
281.441,0.002
281.651,0.004
281.861,0.002
282.071,0.002
282.281,0.002
282.491,0.001
282.701,0.004
282.911,0.005
283.121,0.001
283.331,0.003
283.541,0
283.751,0.003
283.961,0.003
284.171,0.006
284.382,0.002
284.592,0.002
284.802,0.001
285.012,0.002
285.222,0.001
285.432,0.004
285.643,-0.001
285.853,0.002
286.063,0.004
286.273,0.005
286.484,0.001
286.694,0.003
286.904,0.003
287.114,0.002
287.325,0.002
287.535,0.002
287.745,-0.001
287.956,0.005
288.166,0.002
288.377,0.004
288.587,0.004
288.797,0.003
289.008,0.003
289.218,0.001
289.429,0.002
289.639,0.005
289.85,0.002
290.06,0.003
290.271,0.004
290.481,0.001
290.692,0.001
290.902,0.003
291.113,0.002
291.323,0.008
291.534,0.001
291.745,0.004
291.955,0
292.166,0.003
292.377,0.003
292.587,0.002
292.798,0
293.009,0.002
293.219,0.003
293.43,0.005
293.641,0.004
293.852,0
294.062,0.001
294.273,0.006
294.484,0
294.695,0.002
294.906,0.002
295.116,0.003
295.327,0.002
295.538,0.004
295.749,0.01
295.96,0.006
296.171,0.007
296.382,0.005
296.593,0.003
296.804,0.004
297.015,0
297.226,0.002
297.437,0.001
297.648,0.003
297.859,0.005
298.07,0.003
298.281,0.001
298.492,0.003
298.703,0
298.914,0.002
299.125,0.003
299.336,0.002
299.547,0
299.758,0.003
299.97,0.002
300.181,0.002
300.392,0
300.603,0.004
300.814,0.004
301.026,0.004
301.237,0.005
301.448,0.003
301.659,0.005
301.871,0.003
302.082,0.002
302.293,0.005
302.504,0.003
302.716,0.001
302.927,0.002
303.139,0.005
303.35,0.002
303.561,0.003
303.773,-0.001
303.984,0.002
304.196,0.003
304.407,0.005
304.618,0
304.83,0.004
305.041,0.002
305.253,0.003
305.464,0
305.676,0.005
305.888,-0.001
306.099,0.002
306.311,0
306.522,0.001
306.734,0.003
306.945,0.005
307.157,0.002
307.369,0.004
307.58,0.002
307.792,0.006
308.004,0.005
308.215,0.005
308.427,0.004
308.639,0.002
308.851,0.001
309.062,0.002
309.274,0.005
309.486,0.002
309.698,0.003
309.909,0.004
310.121,0.004
310.333,0.003
310.545,0.002
310.757,0.004
310.969,0.003
