filename,int_sphere,ap_dia_mm,driver,alignment_session,measurement_campaign,beam_dither,filter,spectrum_filename,gps_time_s,monitor_mn,monitor_sd,sigma_delta_output_mean,sigma_delta_output_sd,em_telescope_temp_c,wavelength_um,wavelength_center_um_sd,wavelength_gauss_amp,wavelength_source,wavelength_um_fwhm,wavelength_fwhm_um_sd,wavelength_um_opa,wavelength_um_grating,u_pbrr_ap_align,u_pbrr_stray,u_pbrr_ap_d,u_pbrr_det_ap,u_pbrr_det_ap_diff,u_pbrr_ent_ap,u_pbrr_ent_ap_diff,u_pbrr_nonequiv,u_pbrr_nonlinear,u_pbrr_rhtr,u_pbrr_rtop,u_pbrr_rtrace,u_pbrr_vacnt,u_pbrr_vref,gf_resp,gf_resp_sd,gf_l0,gf_l0_sd,gf_gx,gf_gx_sd,gf_gy,gf_gy_sd,gf_gp,gf_gp_sd,gf_gw,gf_gw_sd,gf_gt,gf_gt_sd,gf_sigma_lst,gf_sigma_pbrr,gf_rel_sigma_lst,gf_redchi,gf_ndata,gf_nvarys,c_scirad_out_of_field,u_scirad_out_of_field
ERF_Log_File_20250520_0951.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_0950.csv,1.43179e+09,5.28672,0.000391676,0.689656,0.00060424,29.057,2.51554,3.28597e-05,0.00352025,2,0.0421013,0.000554224,2.5,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000287483,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,3.46994e-05,4.04e-05,0.956689,0.000374425,88.0854,0.0323624,-0.000808105,7.1971e-05,0.00022423,7.25958e-05,-0.000817055,0.00286135,0.016184,0.00286134,-3.02427e-05,1.68085e-05,0.0789735,0.105993,0.000937144,1.11864,66,7,0.995364,5.95007e-05
ERF_Log_File_20250520_1012.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1012.csv,1.43179e+09,2.38535,0.000777571,0.732179,0.000961436,29.057,2.70984,0.000141899,0.00699445,2,0.0495592,0.00271507,2.696,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000309591,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,4.94558e-05,4.04e-05,0.957862,0.000413342,98.0402,0.0360002,-0.000633626,7.21095e-05,0.000370979,7.38244e-05,0.00175363,0.00480845,0.0126648,0.00480844,7.17927e-05,2.79461e-05,0.147894,0.117903,0.00157487,1.11864,66,7,0.995218,6.60319e-05
ERF_Log_File_20250520_1034.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1034.csv,1.43179e+09,4.02787,0.000293502,0.805199,0.00129174,29.0595,3.04089,2.87096e-05,0.00966365,2,0.0807701,0.000506793,3.017,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.0003483,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,7.38689e-05,4.04e-05,0.959275,0.000193374,143.626,0.0286512,-0.000806521,3.86481e-05,0.000239713,3.87015e-05,0.00410541,0.000615442,0.0105724,0.00061544,-1.35472e-05,3.6332e-06,0.027791,0.0935398,0.000201711,1.1185,66,7,0.994912,7.86608e-05
ERF_Log_File_20250520_1056.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1055.csv,1.4318e+09,2.45484,0.000175951,0.862139,0.000339248,29.0616,3.43709,3.22099e-05,0.0131412,2,0.106393,0.000466517,3.394,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000393211,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,9.68799e-05,4.04e-05,0.961522,0.000164346,163.014,0.0275989,-0.000835498,3.276e-05,0.000255843,3.28012e-05,0.00359735,0.000497831,0.0102207,0.00049783,4.01958e-05,2.93915e-06,0.0255634,0.0902825,0.000163093,1.11861,66,7,0.99448,9.60281e-05
ERF_Log_File_20250520_1117.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1117.csv,1.4318e+09,2.39196,0.000184065,0.88556,0.00287403,29.066,3.52623,2.99271e-05,0.0128469,2,0.11497,0.000436923,3.483,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000403517,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,9.77788e-05,4.04e-05,0.963355,0.00017795,154.773,0.0282813,-0.0008084,3.54165e-05,0.000202509,3.54672e-05,0.00400851,0.000573852,0.00980577,0.00057385,-0.00017195,3.38754e-06,0.028023,0.0926289,0.000187945,1.11864,66,7,0.994377,0.000100377
ERF_Log_File_20250520_1139.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1139.csv,1.4318e+09,4.35169,0.000208957,0.873069,0.00161092,29.0725,3.61107,3.71735e-05,0.0121622,2,0.124328,0.000499058,3.575,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.00041309,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,8.88667e-05,4.04e-05,0.962744,0.00023216,139.854,0.033324,-0.000881315,4.62369e-05,0.000376391,4.631e-05,0.00506074,0.000786585,0.0110378,0.000786582,0.000122014,4.64302e-06,0.0346874,0.10914,0.000257624,1.11864,66,7,0.994276,0.000104371
ERF_Log_File_20250520_1201.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1200.csv,1.4318e+09,3.86051,0.000186055,0.877987,0.000968836,29.0775,3.69507,3.46364e-05,0.0126596,2,0.131378,0.000496934,3.669,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000423112,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,8.00432e-05,4.04e-05,0.963887,0.000339431,122.855,0.0431873,-0.000847189,6.42563e-05,0.000292148,6.42712e-05,0.00441131,0.000442773,0.0101146,0.000442772,5.66516e-05,2.61621e-06,0.0171723,0.141462,0.000145013,1.11864,66,7,0.994175,0.000108607
ERF_Log_File_20250520_1222.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1222.csv,1.4318e+09,3.4851,0.000202094,0.877795,0.000811139,29.0802,3.78969,4.62379e-05,0.0127609,2,0.136447,0.000686358,3.767,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.00043344,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,7.01039e-05,4.04e-05,0.963272,0.000290785,109.865,0.0330872,-0.000843387,5.59933e-05,0.000343446,5.60107e-05,0.00404501,0.00043916,0.0113034,0.000439158,9.76648e-06,2.59452e-06,0.0152235,0.108316,0.000143848,1.11864,66,7,0.994059,0.000113269
ERF_Log_File_20250520_1244.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1244.csv,1.4318e+09,2.99742,0.000173861,0.884436,0.00267544,29.0868,3.88082,5.40348e-05,0.0117643,2,0.143976,0.00063228,3.867,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000443704,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,6.05314e-05,4.04e-05,0.964774,0.000310591,92.1866,0.0295811,-0.00076961,6.05188e-05,0.000413404,6.0545e-05,0.00463013,0.000550476,0.0108984,0.000550474,-0.000187898,3.25207e-06,0.016034,0.0969093,0.00018028,1.11864,66,7,0.993946,0.000118111
ERF_Log_File_20250520_1306.csv,ig_zn_diff,13,p02,1,0,filled_square,2.4um_lp,ERF_OSA207_Spectra_20250520_1305.csv,1.4318e+09,2.39649,0.000167301,0.878237,0.00108746,29.0925,3.98006,5.17025e-05,0.0112957,2,0.151705,0.000747473,3.971,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,0.000454977,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,5.01075e-05,4.04e-05,0.965338,0.000379944,71.0066,0.0278503,-0.000780052,7.41475e-05,0.000257084,7.41815e-05,0.00515291,0.0006946,0.0102554,0.000694597,6.95128e-05,4.1029e-06,0.0155928,0.0912389,0.000227482,1.11864,66,7,0.993821,0.000123376
