filename,int_sphere,ap_dia_mm,driver,alignment_session,measurement_campaign,beam_dither,filter,spectrum_filename,gps_time_s,monitor_mn,monitor_sd,sigma_delta_output_mean,sigma_delta_output_sd,sci_rad_bench_temp_c,wavelength_um,wavelength_center_um_sd,wavelength_gauss_amp,wavelength_source,wavelength_um_fwhm,wavelength_fwhm_um_sd,wavelength_um_opa,wavelength_um_grating,u_pbrr_ap_align,u_pbrr_stray,u_pbrr_ap_d,u_pbrr_det_ap,u_pbrr_det_ap_diff,u_pbrr_ent_ap,u_pbrr_ent_ap_diff,u_pbrr_nonequiv,u_pbrr_nonlinear,u_pbrr_rhtr,u_pbrr_rtop,u_pbrr_rtrace,u_pbrr_vacnt,u_pbrr_vref,gf_resp_ss,gf_resp_lw,gf_resp_to,gf_resp_sw,u_resp_noise_ss,u_resp_noise_lw,u_resp_noise_to,u_resp_noise_sw,gf_l0,gf_l0_sd,gf_gx,gf_gx_sd,gf_gy,gf_gy_sd,gf_gp,gf_gp_sd,gf_gw,gf_gw_sd,gf_gt,gf_gt_sd,gf_sigma_ss,gf_sigma_lw,gf_sigma_to,gf_sigma_sw,gf_sigma_pbrr,gf_redchi,gf_ndata,gf_nvarys,c_scirad_out_of_field_ss,c_scirad_out_of_field_lw,c_scirad_out_of_field_to,c_scirad_out_of_field_sw,u_scirad_out_of_field_ss,u_scirad_out_of_field_lw,u_scirad_out_of_field_to,u_scirad_out_of_field_sw,srf_sw,srf_to,srf_lw,srf_ss,c_ssw_edge_temp_ss,u_ssw_edge_temp_ss,u_ssw_edge_temp_sw,u_ssw_edge_temp_to,u_ssw_edge_temp_lw,u_scirad_nonlinear_sw,u_scirad_nonlinear_to,u_scirad_nonlinear_lw,u_scirad_nonlinear_ss,gf_gx_smooth,gf_gx_sd_smooth,gf_gy_smooth,gf_gy_sd_smooth,gf_gp_smooth,gf_gp_sd_smooth,gf_gw_smooth,gf_gw_sd_smooth,u_spatial_unif,u_angular_unif,u_wavelength_dsrf_dwl_sw,u_wavelength_dsrf_dwl_to,u_wavelength_dsrf_dwl_lw,u_wavelength_dsrf_dwl_ss,u_sw_campaign_correction,u_to_campaign_correction,u_lw_campaign_correction,u_ss_campaign_correction,wavelength_um_corrected,u_random_sw,u_random_to,u_random_lw,u_random_ss,srf_sw_corrected,srf_sw_campaign_correction,srf_fit_sw,srf_fit_sw_sd,srf_fit_sw_res,u_wavelength_dsrf_dwl_ir_sw,srf_to_corrected,srf_to_campaign_correction,srf_fit_to,srf_fit_to_sd,srf_fit_to_res,u_wavelength_dsrf_dwl_ir_to,srf_lw_corrected,srf_lw_campaign_correction,srf_fit_lw,srf_fit_lw_sd,srf_fit_lw_res,u_wavelength_dsrf_dwl_ir_lw,srf_ss_corrected,srf_ss_campaign_correction,srf_fit_ss,srf_fit_ss_sd,srf_fit_ss_res,u_wavelength_dsrf_dwl_ir_ss
ERF_Log_File_20250508_1032.csv,sp,13,fmfpe,11,2,filled_square,prism,CCS200_Spectrum_1430757181.csv,1.43076e+09,2.47389,0.00211901,0.657412,0.0786567,33.2883,0.259905,0.00012802,0.439416,1,0.00153097,6.11388e-05,0.26,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,2.96931e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,0.000108667,-0.000217209,0.0551031,0.0422951,5.21422e-05,8.32318e-05,0.000385861,0.000305551,5.4839,0.037532,-0.000345219,0.00133178,-0.000454349,0.00133333,0.0271311,0.0263352,0.00172953,0.0263352,-0.000630122,0.000114148,0.00205096,0.0032776,0.00317934,0.00384948,0.12717,1.04561,228,10,0.989942,0.981033,0.981033,0.85773,5.95042e-08,-6.59931e-08,1.67416e-05,0.000333999,0.0493105,0.0561684,-0.000221408,0.000109771,-0,0,0,0,0,0.00273528,0.00273531,0.00200587,0.00328234,0.000707345,3.91067e-07,-0.000880151,2.29678e-07,0.0537637,0.000420452,0.0641499,0.000356332,0.000396874,0.0117916,0.000324988,0.000388754,1.00045e-07,1.55978e-07,0,0,0,0,0.259905,0.000446069,0.00054775,8.32319e-05,5.21424e-05,0.0493105,0,0.0492962,0.000338664,1.42596e-05,0,0.0561684,0,0.0560829,0.000356939,8.55695e-05,0,-0.000221408,0,-2.38542e-05,0.000257506,-0.000197554,0,0.000109771,0,6.45037e-05,8.6879e-05,4.52674e-05,0
ERF_Log_File_20240820_0920.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408202465.csv,1.4082e+09,2.32148,0.00628066,0.72369,0.0523067,34.1711,0.259927,0.000125621,1.03316,1,0.00131417,1.32729e-05,0.26,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,3.59022e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,0.00018379,-0.00055587,0.0551744,0.0422032,0.000164923,0.000218311,0.000207729,0.000305727,6.54833,0.01527,-0.00121886,0.000458891,-0.000910599,0.000478543,0.00922874,0.057322,-0.0461667,0.0573221,0.00112378,0.000238471,0.00778688,0.0102844,0.00764434,0.0135051,0.0517273,1.04587,228,10,0.988407,0.975685,0.975685,0.838612,1.08979e-07,-1.87201e-07,1.85812e-05,0.000379577,0.0503251,0.0565494,-0.000569723,0.000185946,-0,0,0,0,0,0.00229067,0.00229069,0.00167982,0.00274879,-0.00264611,1.15814e-07,-0.000355521,8.03249e-08,0.112628,0.0023884,0.10033,0.00235404,0.000750407,0.0213011,0.000318898,0.000381469,9.81702e-08,1.53055e-07,1.46098e-05,1.35816e-05,4.55327e-07,4.27847e-08,0.259927,0.000441774,0.000434374,0.000218311,0.000164923,0.0498479,-0.000477206,0.0492962,0.000338664,0.000551609,0,0.0564521,-9.72951e-05,0.0560829,0.000356939,0.000369226,0,-0.000563481,6.24142e-06,-2.38542e-05,0.000257506,-0.000539627,0,0.000185772,-1.74143e-07,6.45037e-05,8.6879e-05,0.000121268,0
ERF_Log_File_20240820_0956.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408204580.csv,1.40821e+09,4.17169,0.00327665,0.7188,0.0409276,34.1725,0.270083,0.000125543,1.13542,1,0.00136801,7.90909e-06,0.27,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,3.73151e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,-4.53612e-05,-0.000224673,0.0273122,0.0218477,9.10482e-05,0.000147581,0.000112982,0.000196591,12.5504,0.02858,-0.00072525,0.000448793,8.36338e-05,0.000475944,0.105069,0.0678231,0.165845,0.0678242,0.000580169,0.000278481,0.00822559,0.0133175,0.00847434,0.0170453,0.096812,1.04587,228,10,0.988407,0.976097,0.976097,0.853502,-2.6897e-08,-7.05558e-08,8.57708e-06,0.000170093,0.0255977,0.027981,-0.000230175,-4.58932e-05,0,0,0,0,0,0.00119518,0.0011952,0.000876466,0.00143422,-0.000495661,6.26776e-08,-0.000769434,4.55422e-08,0.0819807,0.00169298,0.0739433,0.00166862,0.000316274,0.015596,0.000253691,0.000284035,9.00292e-08,1.41952e-07,7.43125e-06,6.72026e-06,1.83958e-07,1.05597e-08,0.270083,0.000320949,0.000305668,0.000147581,9.10483e-05,0.025355,-0.00024273,0.0254065,0.000319204,-5.15653e-05,0,0.0279329,-4.81423e-05,0.0279399,0.000312677,-7.04659e-06,0,-0.000227653,2.52161e-06,-1.62838e-05,0.00017577,-0.000211369,0,-4.58503e-05,4.29803e-08,5.26426e-05,6.19406e-05,-9.84928e-05,0
ERF_Log_File_20240820_1036.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408206999.csv,1.40821e+09,4.97945,0.00220702,0.649725,0.00529747,34.171,0.28011,0.00012558,1.12525,1,0.00148657,1.08475e-05,0.28,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,3.87637e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,-8.03499e-05,-8.85073e-05,0.0119916,0.00949302,8.72113e-05,8.78871e-05,7.32561e-05,0.000121219,15.1664,0.0138198,0.000301879,0.000185046,-0.00104458,0.000253018,0.106585,0.115674,-0.314015,0.115686,-0.000597859,0.000303191,0.00948851,0.00957344,0.00788598,0.0131683,0.0467875,1.04587,228,10,0.988407,0.976509,0.976509,0.867523,-4.76436e-08,-2.60066e-08,3.52356e-06,6.32881e-05,0.0109427,0.0122801,-9.06364e-05,-8.12923e-05,-0,0,0,0,0,0.000989029,0.000989032,0.000725287,0.00118683,0.000553421,3.95325e-08,-0.00087117,3.04935e-08,0.0587648,0.00119146,0.0537298,0.00117432,0.000356148,0.011252,0.000102778,0.000111618,8.03531e-08,1.29123e-07,3.17676e-06,2.94933e-06,7.24374e-08,1.87047e-08,0.28011,0.000158926,0.000133529,8.78871e-05,8.72114e-05,0.0108389,-0.000103764,0.010861,0.000163717,-2.20824e-05,0,0.0122589,-2.11283e-05,0.0122649,0.000144641,-5.9845e-06,0,-8.96435e-05,9.9294e-07,-9.47149e-06,9.36849e-05,-8.0172e-05,0,-8.12162e-05,7.61325e-08,4.18084e-05,3.87521e-05,-0.000123025,0
ERF_Log_File_20240820_1114.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408209292.csv,1.40821e+09,2.98199,0.000689805,0.642763,0.000836369,34.1725,0.290265,0.000125623,1.10778,1,0.00154701,1.34253e-05,0.29,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,4.01512e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,-8.71608e-06,-2.53206e-06,0.00774358,0.0060927,7.62927e-05,0.000111039,7.78418e-05,0.000155294,16.5319,0.0232438,0.000804235,0.000286197,-0.000776582,0.00039706,0.126853,0.196455,0.442141,0.196493,-0.000295372,0.000483565,0.00905698,0.0131897,0.00914613,0.0184092,0.0787172,1.04587,228,10,0.988407,0.976929,0.976929,0.880626,-5.16821e-09,-6.97355e-10,2.13266e-06,3.43776e-05,0.0069186,0.00792645,-2.59186e-06,-8.81831e-06,0,0,0,0,0,0.000907337,0.000907338,0.00066538,0.0010888,0.000942384,2.95132e-08,-0.000801416,2.34169e-08,0.040909,0.000823226,0.0380088,0.000811382,0.00043595,0.00789348,1.97695e-05,1.43073e-05,6.93319e-08,1.14746e-07,2.00853e-06,1.90371e-06,2.07143e-09,2.02903e-09,0.290265,0.000156548,7.91381e-05,0.000111039,7.62928e-05,0.006853,-6.56055e-05,0.00683268,0.000163815,2.03121e-05,0,0.00791281,-1.36377e-05,0.00790402,8.71849e-05,8.79404e-06,0,-2.56346e-06,2.83943e-08,-3.41319e-06,7.13955e-05,8.49729e-07,0,-8.81005e-06,8.25859e-09,3.19417e-05,2.59995e-05,-4.07518e-05,0
ERF_Log_File_20250508_1105.csv,sp,13,fmfpe,11,2,filled_square,prism,CCS200_Spectrum_1430759133.csv,1.43076e+09,4.56771,0.000509932,0.642463,0.00154248,33.2886,0.298973,0.000129853,0.344973,1,0.00187193,8.10179e-05,0.3,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,3.42226e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,2.97715e-05,-5.98025e-06,0.00887389,0.00641105,1.88801e-05,2.58821e-05,2.33111e-05,3.34994e-05,20.5938,0.0310111,0.00101706,0.000296601,-0.000386753,0.000312579,0.179832,0.0417992,-0.141633,0.0417989,-0.000272491,0.00017423,0.00279171,0.00382916,0.0028166,0.00472555,0.105035,1.04587,228,10,0.989942,0.98202,0.98202,0.896533,1.63024e-08,-1.39874e-09,2.07555e-06,3.01222e-05,0.00715094,0.00903636,-6.08974e-06,3.0074e-05,-0,0,0,0,0,0.000728375,0.000728377,0.000534141,0.000874049,0.00135642,6.76865e-08,-0.000373521,4.05842e-08,0.0128742,9.62155e-05,0.0190113,8.15424e-05,0.000432486,0.0031886,3.81575e-05,5.51443e-05,6.1116e-08,1.04877e-07,0,0,0,0,0.298973,5.0777e-05,5.97854e-05,2.58822e-05,1.88804e-05,0.00715094,0,0.00714335,9.40235e-05,7.59021e-06,0,0.00903636,0,0.00907321,5.61498e-05,-3.68485e-05,0,-6.08974e-06,0,1.04236e-06,5.14453e-05,-7.1321e-06,0,3.0074e-05,0,2.44419e-05,2.60966e-05,5.63211e-06,0
ERF_Log_File_20250124_1147.csv,sp,12,emfpe,7,1,filled_square,prism,CCS200_Spectrum_1421779668.csv,1.42178e+09,2.27457,0.000161667,0.644686,0.00158193,34.1725,0.299623,0.000128179,0.446161,1,0.00185848,6.3328e-05,0.3,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,4.14714e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000123406,4.04e-05,-1.63698e-05,-6.50695e-05,0.00906075,0.00652314,3.21912e-05,4.67823e-05,4.20928e-05,5.55319e-05,28.8282,0.0269532,0.00094186,0.000188223,-1.2507e-05,0.000242174,0.0718689,0.0848182,0.183079,0.0848206,-4.67527e-05,0.000268962,0.0066678,0.00969101,0.00852989,0.0113998,0.0904895,1.0458,228,10,0.988407,0.977316,0.977316,0.891608,-9.70648e-09,-1.69188e-08,2.3559e-06,3.1384e-05,0.00731615,0.00927105,-6.65798e-05,-1.65618e-05,0,0,0,0,0,0.000520324,0.000520328,0.000381571,0.000624389,0.00121956,3.85103e-08,-0.000162192,2.14103e-08,0.0213177,0.000135404,0.0321998,0.000134793,0.000345439,0.00535182,4.29617e-05,5.96668e-05,5.95284e-08,1.02454e-07,2.19778e-06,2.48907e-06,6.09301e-08,4.52213e-09,0.299623,7.02118e-05,7.29331e-05,4.67823e-05,3.21914e-05,0.00726231,-5.38466e-05,0.00734858,9.64171e-05,-8.62749e-05,0,0.00927023,-8.21616e-07,0.00936359,5.28299e-05,-9.33611e-05,0,-6.56128e-05,9.66987e-07,1.34627e-06,4.93058e-05,-6.69591e-05,0,-1.65825e-05,-2.06911e-08,2.39196e-05,2.59927e-05,-4.05021e-05,0
ERF_Log_File_20240820_1151.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408211511.csv,1.40821e+09,4.14201,0.000838394,0.644606,0.00147055,34.1725,0.300598,0.000125582,1.01365,1,0.00164568,1.0984e-05,0.3,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,4.16111e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000122542,4.04e-05,2.35446e-05,4.28858e-05,0.00984798,0.00706211,5.63953e-05,7.6625e-05,5.35863e-05,8.8478e-05,21.0092,0.0212576,0.000739159,0.000204339,-0.000315811,0.000269146,0.157092,0.104052,-0.12573,0.104051,7.92702e-05,0.000307801,0.00851602,0.0115689,0.00794594,0.0132601,0.0718111,1.04586,228,10,0.988407,0.977357,0.977357,0.892689,1.39608e-08,1.10852e-08,2.54553e-06,3.34121e-05,0.00791105,0.0100761,4.38794e-05,2.38208e-05,0,0,0,0,0,0.000713973,0.000713976,0.00052358,0.000856768,0.000935647,2.32107e-08,-0.000644762,1.84486e-08,0.0273388,0.000555503,0.0259242,0.00054751,0.000395102,0.00532744,4.67024e-05,6.19937e-05,5.71419e-08,9.8784e-08,2.29665e-06,2.42001e-06,3.50688e-08,5.48097e-09,0.300598,0.000100049,8.18643e-05,7.6625e-05,5.63954e-05,0.00783604,-7.50164e-05,0.00769599,0.0001039,0.000140045,0,0.0100588,-1.73363e-05,0.00983477,5.33404e-05,0.000224024,0,4.33987e-05,-4.80707e-07,1.79452e-06,4.65851e-05,4.16041e-05,0,2.37984e-05,-2.23088e-08,2.31464e-05,2.53285e-05,6.52023e-07,0
ERF_Log_File_20240820_1223.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408213415.csv,1.40821e+09,3.27311,0.000493734,0.514167,0.0019955,34.1711,0.305201,0.000125593,1.1222,1,0.00171017,1.17185e-05,0.305,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,4.22183e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000115887,4.04e-05,5.18615e-05,3.22849e-05,0.0112351,0.00829331,8.87973e-05,0.000100064,8.01706e-05,0.000101567,16.2832,0.0179055,0.000644678,0.00022286,-0.000443904,0.000300779,0.53392,0.129281,-0.0188012,0.129241,-3.09603e-06,0.000354867,0.010393,0.0117116,0.00925356,0.0118136,0.0602072,1.04584,228,10,0.988407,0.977547,0.977547,0.897654,3.07514e-08,8.11915e-09,2.82544e-06,3.62306e-05,0.00923887,0.0114932,3.30264e-05,5.24698e-05,-0,0,0,0,0,0.000921195,0.000921198,0.000675543,0.00110543,0.00085655,2.07399e-08,-0.000563601,1.64461e-08,0.022511,0.000463209,0.0215876,0.000456544,0.000355038,0.00441082,1.83699e-05,1.33091e-05,5.1497e-08,9.09774e-08,2.68213e-06,2.76033e-06,2.6395e-08,1.20729e-08,0.305201,0.000103215,8.13132e-05,0.000100064,8.87973e-05,0.00915126,-8.76074e-05,0.00913437,0.000155461,1.68923e-05,0,0.0114734,-1.97744e-05,0.0115333,8.6803e-05,-5.99329e-05,0,3.26646e-05,-3.61811e-07,3.7858e-06,3.87597e-05,2.88788e-05,0,5.24206e-05,-4.91394e-08,1.96674e-05,1.71613e-05,3.27532e-05,0
ERF_Log_File_20240820_1254.csv,sp,12,emfpe,2,0,filled_square,prism,CCS200_Spectrum_1408215315.csv,1.40822e+09,3.18542,0.000446853,0.449956,0.000677308,34.1714,0.310241,0.000125549,1.1573,1,0.0017389,8.48275e-06,0.31,0,6.35e-06,0.000289,8.31e-05,7.51e-06,0,6.93e-06,4.28725e-05,6.18e-05,2.89e-05,5.77e-06,2.54e-05,9.24e-06,0.000108599,4.04e-05,-4.97161e-06,0.000198582,0.011418,0.00811361,5.75742e-05,9.34707e-05,7.75595e-05,9.77923e-05,15.8168,0.016372,0.000614306,0.000209904,-0.000503344,0.000284296,-0.136681,0.124141,-0.0989511,0.124139,-0.000518002,0.000336951,0.00653356,0.0106181,0.00870317,0.0110489,0.0554504,1.04587,228,10,0.988407,0.977755,0.977755,0.902812,-2.94792e-09,4.84867e-08,2.78787e-06,3.24635e-05,0.00898704,0.0116778,0.0002031,-5.02992e-06,-0,0,0,0,0,0.000948359,0.000948362,0.000695463,0.00113803,0.000738165,1.81893e-08,-0.000472926,1.43695e-08,0.0179532,0.000377694,0.017471,0.00037226,0.000302773,0.00354322,1.78938e-05,2.9271e-05,4.5167e-08,8.18906e-08,2.60902e-06,2.80467e-06,1.62319e-07,1.15735e-09,0.310241,9.94159e-05,8.26018e-05,9.34707e-05,5.75743e-05,0.00890182,-8.52195e-05,0.00892856,0.000165526,-2.67384e-05,0,0.0116577,-2.0092e-05,0.0116427,9.11883e-05,1.49616e-05,0,0.000200875,-2.225e-06,5.726e-06,2.81378e-05,0.000195149,0,-5.02521e-06,4.71066e-09,1.61967e-05,1.42966e-05,-2.1222e-05,0
