wavelength_um,lst,u_random_lst
0.26,0.070087,0.000774657
0.260207,0.0693942,0.000759053
0.260415,0.0687042,0.000743479
0.260623,0.0680171,0.000727937
0.260831,0.0673329,0.000712428
0.261039,0.0666516,0.000696955
0.261247,0.0659733,0.000681521
0.261455,0.0652979,0.000666129
0.261664,0.0646254,0.00065078
0.261873,0.063956,0.000635479
0.262081,0.0632896,0.00062023
0.262291,0.0626262,0.000605036
0.2625,0.0619659,0.000589901
0.262709,0.0613087,0.00057483
0.262919,0.0606546,0.000559829
0.263128,0.0600036,0.000544903
0.263338,0.0593557,0.000530059
0.263548,0.0587111,0.000515304
0.263759,0.0580696,0.000500646
0.263969,0.0574313,0.000486093
0.26418,0.0567963,0.000471656
0.26439,0.0561645,0.000466945
0.264601,0.055536,0.000463089
0.264812,0.0549108,0.000459292
0.265024,0.0542889,0.000455554
0.265235,0.0536704,0.000451875
0.265447,0.0530552,0.000448255
0.265658,0.0524434,0.000444696
0.26587,0.051835,0.000441197
0.266082,0.05123,0.000437758
0.266295,0.0506285,0.00043438
0.266507,0.0500304,0.000431063
0.26672,0.0494359,0.000427808
0.266932,0.0488448,0.000424613
0.267145,0.0482573,0.000421481
0.267358,0.0476733,0.000418409
0.267572,0.047093,0.0004154
0.267785,0.0465162,0.000412452
0.267999,0.045943,0.000409567
0.268213,0.0453735,0.000406743
0.268426,0.0448076,0.000403981
0.268641,0.0442454,0.000401281
0.268855,0.0436869,0.000398643
0.269069,0.0431322,0.000396067
0.269284,0.0425812,0.000393552
0.269499,0.0420339,0.000391099
0.269714,0.0414905,0.000388707
0.269929,0.0409508,0.000386376
0.270144,0.040415,0.000384107
0.27036,0.0398831,0.000381897
0.270575,0.039355,0.000379749
0.270791,0.0388308,0.00037766
0.271007,0.0383105,0.00037563
0.271223,0.0377942,0.00037366
0.27144,0.0372819,0.000371749
0.271656,0.0367735,0.000369896
0.271873,0.0362691,0.0003681
0.27209,0.0357688,0.000366362
0.272307,0.0352724,0.000364681
0.272524,0.0347802,0.000363055
0.272742,0.0342921,0.000361485
0.272959,0.033808,0.000360219
0.273177,0.0333281,0.000359082
0.273395,0.0328524,0.000358002
0.273613,0.0323808,0.000356977
0.273831,0.0319134,0.000356007
0.27405,0.0314503,0.000355089
0.274268,0.0309913,0.000354225
0.274487,0.0305367,0.000353412
0.274706,0.0300863,0.000352649
0.274925,0.0296402,0.000351936
0.275144,0.0291985,0.000351271
0.275364,0.0287611,0.000350653
0.275584,0.028328,0.000350082
0.275803,0.0278994,0.000349555
0.276023,0.0274752,0.000349073
0.276244,0.0270554,0.000348633
0.276464,0.02664,0.000348235
0.276684,0.0262291,0.000347878
0.276905,0.0258227,0.00034756
0.277126,0.0254209,0.00034728
0.277347,0.0250236,0.000346796
0.277568,0.0246308,0.00034624
0.27779,0.0242426,0.000345718
0.278011,0.023859,0.000345227
0.278233,0.0234801,0.000344768
0.278455,0.0231058,0.000344339
0.278677,0.0227361,0.000343939
0.2789,0.0223712,0.000343567
0.279122,0.0220109,0.000343221
0.279345,0.0216554,0.000342901
0.279567,0.0213046,0.000342606
0.279791,0.0209587,0.000342334
0.280014,0.0206175,0.000342084
0.280237,0.0202811,0.000341856
0.280461,0.0199496,0.000341649
0.280684,0.0196229,0.00034146
0.280908,0.0193011,0.00034129
0.281132,0.0189842,0.000341137
0.281357,0.0186722,0.000341
0.281581,0.0183652,0.000340878
0.281806,0.0180631,0.000338679
