wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss,u_common_sw,u_wavelength_sw,u_session_avg_sw,u_total_sw,u_common_to,u_wavelength_to,u_session_avg_to,u_total_to,u_common_lw,u_wavelength_lw,u_session_avg_lw,u_total_lw,u_common_ss,u_wavelength_ss,u_session_avg_ss,u_total_ss
0.26,0.0492962,0.000338664,0.000308415,0.000139905,0.0560829,0.000356939,0.000336671,0.000118567,-2.38542e-05,0.000257506,3.22931e-05,0.000255473,6.45037e-05,8.6879e-05,4.20745e-05,7.60112e-05,0.000505589,0.000356564,0.00372385,0.00379005,0.000557943,0.000128025,0.00372385,0.00378446,0.000420463,0.000126931,0.00372385,0.00375849,0.000558982,0.000126931,0.00372385,0.00376871
0.260207,0.0487697,0.000331186,0.000301047,0.000138039,0.0554531,0.000348161,0.000328206,0.000116175,-2.36921e-05,0.000255447,3.21649e-05,0.000253414,6.4251e-05,8.62105e-05,4.17836e-05,7.54081e-05,0.000505589,0.000354953,0.0037084,0.00377406,0.000557943,0.00012802,0.0037084,0.00376844,0.000420463,0.000126937,0.0037084,0.00374304,0.000558982,0.000126937,0.0037084,0.00375343
0.260415,0.0482427,0.000324032,0.000294031,0.000136171,0.0548224,0.000339681,0.000320057,0.000113782,-2.35302e-05,0.000253387,3.20367e-05,0.000251353,6.39984e-05,8.55419e-05,4.14933e-05,7.48045e-05,0.000505589,0.000353336,0.00369289,0.00375804,0.000557943,0.000128015,0.00369289,0.0037524,0.000420463,0.000126943,0.00369289,0.00372754,0.000558982,0.000126943,0.00369289,0.00373809
0.260623,0.0477153,0.000317238,0.000287408,0.000134302,0.0541909,0.000331536,0.000312264,0.000111387,-2.33683e-05,0.000251325,3.19087e-05,0.000249291,6.3746e-05,8.48732e-05,4.12037e-05,7.42004e-05,0.000505589,0.000351722,0.00367739,0.00374208,0.000557943,0.000128011,0.00367739,0.00373641,0.000420463,0.000126949,0.00367739,0.00371204,0.000558982,0.000126949,0.00367739,0.00372276
0.260831,0.0471875,0.000310838,0.000281216,0.000132431,0.0535589,0.000323763,0.000304867,0.000108991,-2.32066e-05,0.000249261,3.17807e-05,0.000247227,6.34938e-05,8.42044e-05,4.09148e-05,7.35959e-05,0.000505589,0.00035011,0.0036619,0.00372617,0.000557943,0.000128006,0.0036619,0.00372049,0.000420463,0.000126955,0.0036619,0.00369656,0.000558982,0.000126955,0.0036619,0.00370745
0.261039,0.0466596,0.000304865,0.000275494,0.000130558,0.0529265,0.000316399,0.000297904,0.000106592,-2.3045e-05,0.000247196,3.16528e-05,0.000245161,6.32416e-05,8.35355e-05,4.06266e-05,7.29908e-05,0.000505589,0.000348501,0.00364643,0.00371031,0.000557943,0.000128001,0.00364643,0.00370462,0.000420463,0.000126961,0.00364643,0.00368109,0.000558982,0.000126961,0.00364643,0.00369215
0.261247,0.0461315,0.000299349,0.000270278,0.000128685,0.052294,0.000309478,0.000291412,0.000104191,-2.28835e-05,0.00024513,3.1525e-05,0.000243094,6.29897e-05,8.28666e-05,4.0339e-05,7.23853e-05,0.000505589,0.000346894,0.00363096,0.00369452,0.000557943,0.000127997,0.00363096,0.00368881,0.000420463,0.000126967,0.00363096,0.00366564,0.000558982,0.000126967,0.00363096,0.00367687
0.261455,0.0456035,0.000294318,0.000265598,0.000126809,0.0516613,0.000303035,0.000285429,0.000101788,-2.27222e-05,0.000243061,3.13973e-05,0.000241025,6.27378e-05,8.21976e-05,4.00521e-05,7.17793e-05,0.000505589,0.00034529,0.00361551,0.00367878,0.000557943,0.000127992,0.00361551,0.00367307,0.000420463,0.000126973,0.00361551,0.0036502,0.000558982,0.000126973,0.00361551,0.0036616
0.261664,0.0450756,0.000289797,0.000261484,0.000124932,0.0510288,0.000297101,0.000279986,9.93839e-05,-2.2561e-05,0.000240992,3.12697e-05,0.000238954,6.24862e-05,8.15286e-05,3.9766e-05,7.11728e-05,0.000505589,0.00034368,0.0036,0.00366302,0.000557943,0.000127988,0.0036,0.00365732,0.000420463,0.000126979,0.0036,0.00363469,0.000558982,0.000126979,0.0036,0.00364626
0.261873,0.0445479,0.000285806,0.000257959,0.000123054,0.0503966,0.000291705,0.000275113,9.69775e-05,-2.23999e-05,0.000238921,3.11422e-05,0.000236882,6.22347e-05,8.08595e-05,3.94805e-05,7.05659e-05,0.000505589,0.000342073,0.0035845,0.00364733,0.000557943,0.000127983,0.0035845,0.00364163,0.000420463,0.000126985,0.0035845,0.00361921,0.000558982,0.000126985,0.0035845,0.00363095
