wavelength_um,radiance_w_m2_sr_um
0.25,0.0157357
0.250063,0.0148278
0.250125,0.0151158
0.250188,0.0038197
0.25025,0.0140669
0.250313,0.0115386
0.250376,0.0157957
0.250438,0.0119528
0.250501,0.0118166
0.250564,0.0096599
0.250627,0.0140137
0.250689,0.00439047
0.250752,0.00311196
0.250815,0.00864434
0.250878,0.00980715
0.250941,0.0143387
0.251004,0.0177436
0.251067,0.0115065
0.25113,0.00613608
0.251193,0.00529969
0.251256,0.00817697
0.251319,0.00742114
0.251383,0.0137222
0.251446,0.00823155
0.251509,0.00327522
0.251572,0.00813827
0.251636,0.00691798
0.251699,0.00213473
0.251762,0.00715382
0.251826,0.00466868
0.251889,0.00345542
0.251953,0.00723801
0.252016,0.00374306
0.25208,0.0129738
0.252143,0.00801117
0.252207,0.00894522
0.25227,0.00440664
0.252334,0.00304559
0.252398,0.00451851
0.252461,0.00506034
0.252525,0.00286769
0.252589,0.00667824
0.252653,0.00729743
0.252717,0.00574768
0.252781,0.00462784
0.252845,0.00361237
0.252908,0.00353988
0.252972,0.00318118
0.253036,0.00384882
0.2531,0.00389917
0.253165,0.00591085
0.253229,0.00879535
0.253293,0.00701386
0.253357,0.0136752
0.253421,0.0144898
0.253485,0.00773296
0.25355,0.00977189
0.253614,0.00627347
0.253678,0.00483414
0.253743,0.00513704
0.253807,0.0113797
0.253872,0.0107893
0.253936,0.00524181
0.254001,0.00311921
0.254065,0.00907976
0.25413,0.00882291
0.254194,0.00623326
0.254259,0.00868556
0.254323,0.00824701
0.254388,0.0199202
0.254453,0.00831445
0.254518,0.0177866
0.254582,0.0103113
0.254647,0.00568137
0.254712,0.0073866
0.254777,0.0142833
0.254842,0.0157997
0.254907,0.00746889
0.254972,0.0102051
0.255037,0.0026908
0.255102,0.0252654
0.255167,0.00596649
0.255232,0.0165312
0.255297,0.0327095
0.255363,0.012415
0.255428,0.0076394
0.255493,0.0504866
0.255558,0.0216475
0.255624,0.0284037
0.255689,0.0301819
0.255754,0.0258231
0.25582,0.00594693
0.255885,0.0454677
0.255951,0.0351667
0.256016,0.0298515
0.256082,0.00985773
0.256148,0.00736593
0.256213,0.0210495
0.256279,0.00889053
0.256345,0.00667864
0.25641,0.00707067
0.256476,0.0182442
0.256542,0.0174097
0.256608,0.0291112
0.256674,0.0260848
0.256739,0.0125164
0.256805,0.0244583
0.256871,0.0334723
0.256937,0.0117164
0.257003,0.0579524
0.257069,0.0594404
0.257136,0.0567238
0.257202,0.0514703
0.257268,0.0397769
0.257334,0.0373146
0.2574,0.0130792
0.257467,0.038747
0.257533,0.0202131
0.257599,0.0171255
0.257666,0.0103582
0.257732,0.00912297
0.257798,0.0227701
0.257865,0.0136212
0.257931,0.0215712
0.257998,0.0151721
0.258065,0.0487542
0.258131,0.024856
0.258198,0.0794557
0.258264,0.0481345
0.258331,0.00786319
0.258398,0.0237863
0.258465,0.0212996
0.258532,0.00832992
0.258598,0.00792755
0.258665,0.00205208
0.258732,0.00910111
0.258799,0.020416
0.258866,0.021447
0.258933,0.0167257
0.259,0.0511038
0.259067,0.0627214
0.259134,0.0236438
0.259202,0.027363
0.259269,0.0167241
0.259336,0.026166
0.259403,0.0175746
0.259471,0.00904389
0.259538,0.0149926
0.259605,0.0172194
0.259673,0.0226739
0.25974,0.0187564
0.259808,0.0143637
0.259875,0.0057995
0.259943,0.00328784
0.26001,0.00115115
0.260078,0.00460715
0.260146,0.00958748
0.260213,0.0172764
0.260281,0.0276163
0.260349,0.0239829
0.260417,0.0242816
0.260485,0.0248275
0.260552,0.0273452
0.26062,0.00962679
0.260688,0.0122678
0.260756,0.00368592
0.260824,0.00705108
0.260892,0.0159789
0.26096,0.0214331
0.261028,0.0296877
0.261097,0.0144899
0.261165,0.00941413
0.261233,0.0044289
0.261301,0.00535133
0.26137,0.0094676
0.261438,0.00498202
0.261506,0.00841815
0.261575,0.0209672
0.261643,0.0282688
0.261712,0.0225191
0.26178,0.0154782
0.261849,0.00325167
0.261917,0.0107554
0.261986,0.0195537
0.262055,0.0338286
0.262123,0.013197
0.262192,0.0226796
0.262261,0.00957129
0.262329,0.0414841
0.262398,0.0249271
0.262467,0.0306319
0.262536,0.0312048
0.262605,0.00939525
0.262674,0.00783722
0.262743,0.0166136
0.262812,0.0190256
0.262881,0.00746312
0.26295,0.00856632
0.263019,0.0166596
0.263089,0.0109719
0.263158,0.00547276
0.263227,0.00330819
0.263296,0.00816704
0.263366,0.013642
0.263435,0.0485129
0.263505,0.0842648
0.263574,0.0530032
0.263644,0.0230405
0.263713,0.0696431
0.263783,0.0985869
0.263852,0.0519549
0.263922,0.0973932
0.263992,0.113265
0.264061,0.0871382
0.264131,0.0810677
0.264201,0.0712028
0.264271,0.0286473
0.26434,0.0461847
0.26441,0.0424157
0.26448,0.0362974
0.26455,0.0835757
0.26462,0.0461885
0.26469,0.0588402
0.26476,0.0649533
0.264831,0.0541839
0.264901,0.0895324
0.264971,0.0620471
0.265041,0.0876197
0.265111,0.0928917
0.265182,0.052873
0.265252,0.0613599
0.265322,0.0829508
0.265393,0.155353
0.265463,0.11727
0.265534,0.100038
0.265604,0.139059
0.265675,0.09055
0.265745,0.0664792
0.265816,0.0727984
0.265887,0.0589569
0.265957,0.0887615
0.266028,0.0577807
0.266099,0.0626717
0.26617,0.0643322
0.266241,0.0300942
0.266312,0.060451
0.266383,0.0879486
0.266454,0.0534963
0.266525,0.0178981
0.266596,0.0544059
0.266667,0.0755072
0.266738,0.0252414
0.266809,0.0899167
0.26688,0.0490937
0.266951,0.065153
0.267023,0.0446346
0.267094,0.0598212
0.267165,0.0698429
0.267237,0.0963474
0.267308,0.0303049
0.26738,0.0537599
0.267451,0.0868753
0.267523,0.0747089
0.267594,0.066889
0.267666,0.0662321
0.267738,0.0737827
0.267809,0.0580242
0.267881,0.0611244
0.267953,0.0289351
0.268025,0.0470383
0.268097,0.0621837
0.268168,0.0769305
0.26824,0.103629
0.268312,0.0978727
0.268384,0.0571136
0.268456,0.0684498
0.268528,0.0943008
0.268601,0.0494398
0.268673,0.0676303
0.268745,0.0992913
0.268817,0.0896355
0.268889,0.0699999
0.268962,0.0719763
0.269034,0.0535443
0.269107,0.0719749
0.269179,0.0576146
0.269251,0.0759555
0.269324,0.0551937
0.269397,0.0429311
0.269469,0.0344784
0.269542,0.065886
0.269614,0.0438522
0.269687,0.0443991
0.26976,0.0722093
0.269833,0.0403902
0.269906,0.0694931
0.269978,0.0388553
0.270051,0.13205
0.270124,0.0819246
0.270197,0.0601165
0.27027,0.0566301
0.270343,0.0659625
0.270416,0.07395
0.27049,0.0330857
0.270563,0.0778794
0.270636,0.042054
0.270709,0.0501709
0.270783,0.0834184
0.270856,0.0714394
0.270929,0.0504927
0.271003,0.0789271
0.271076,0.025843
0.27115,0.0512648
0.271223,0.0403564
0.271297,0.0696612
0.27137,0.116868
0.271444,0.0530795
0.271518,0.00896708
0.271592,0.0473239
0.271665,0.0695536
0.271739,0.0298488
0.271813,0.0235713
0.271887,0.0381183
0.271961,0.00832257
0.272035,0.0164818
0.272109,0.0221141
0.272183,0.0102337
0.272257,0.0416276
0.272331,0.0361104
0.272405,0.0478272
0.27248,0.0466266
0.272554,0.0325824
0.272628,0.0380808
0.272702,0.0412524
0.272777,0.0470304
0.272851,0.0166345
0.272926,0.0255892
0.273,0.0922109
0.273075,0.0725588
0.273149,0.0207718
0.273224,0.0730328
0.273299,0.072365
0.273373,0.0656952
0.273448,0.0171678
0.273523,0.0408662
0.273598,0.0404324
0.273673,0.0479367
0.273748,0.0163389
0.273823,0.0110088
0.273898,0.0323208
0.273973,0.0259869
0.274048,0.00679168
0.274123,0.0335612
0.274198,0.0420805
0.274273,0.0272194
0.274348,0.0129977
0.274424,0.00972933
0.274499,0.0179815
0.274574,0.0417052
0.27465,0.0310092
0.274725,0.00786271
0.274801,0.0113692
0.274876,0.0350623
0.274952,0.0224608
0.275028,0.00475792
0.275103,0.011245
0.275179,0.0307369
0.275255,0.0372163
0.27533,0.0787383
0.275406,0.0405149
0.275482,0.0281103
0.275558,0.0313148
0.275634,0.0101714
0.27571,0.0110203
0.275786,0.0334745
0.275862,0.0496913
0.275938,0.0888499
0.276014,0.0418251
0.276091,0.0642615
0.276167,0.0740467
0.276243,0.031081
0.276319,0.0288413
0.276396,0.0751388
0.276472,0.0792562
0.276549,0.0951789
0.276625,0.0677783
0.276702,0.0408522
0.276778,0.0681133
0.276855,0.0580884
0.276932,0.0451473
0.277008,0.020764
0.277085,0.0752591
0.277162,0.0800287
0.277239,0.0675476
0.277316,0.0537398
0.277393,0.084582
0.277469,0.0888149
0.277546,0.0815141
0.277624,0.0799029
0.277701,0.0532278
0.277778,0.0459782
0.277855,0.0470238
0.277932,0.0283457
0.278009,0.0331974
0.278087,0.0188033
0.278164,0.0332509
0.278242,0.024117
0.278319,0.0358772
0.278396,0.0267636
0.278474,0.0315419
0.278552,0.0473767
0.278629,0.0486551
0.278707,0.0385041
0.278784,0.0365938
0.278862,0.0240304
0.27894,0.0327115
0.279018,0.030498
0.279096,0.023926
0.279174,0.0174151
0.279252,0.0159192
0.27933,0.0145094
0.279408,0.0125747
0.279486,0.00752186
0.279564,0.00313847
0.279642,0.000965592
0.27972,0.00487006
0.279799,0.00900326
0.279877,0.00764358
0.279955,0.0125968
0.280034,0.0144901
0.280112,0.0157004
0.280191,0.00982183
0.280269,0.00703125
0.280348,0.00140353
0.280426,0.00614988
0.280505,0.0110732
0.280584,0.0152616
0.280662,0.0188533
0.280741,0.020789
0.28082,0.0281651
0.280899,0.0286499
0.280978,0.0418995
0.281057,0.0439293
0.281136,0.045705
0.281215,0.0415582
0.281294,0.0372063
0.281373,0.0471537
0.281452,0.0481005
0.281532,0.0780129
0.281611,0.0606799
0.28169,0.0891211
0.28177,0.102057
0.281849,0.0721851
0.281928,0.0800228
0.282008,0.0735221
0.282087,0.131828
0.282167,0.0981584
0.282247,0.0816199
0.282326,0.0844317
0.282406,0.0720335
0.282486,0.15459
0.282566,0.108311
0.282646,0.046446
0.282725,0.117057
0.282805,0.142938
0.282885,0.128174
0.282965,0.0671517
0.283046,0.13437
0.283126,0.080812
0.283206,0.104302
0.283286,0.0882755
0.283366,0.115007
0.283447,0.159555
0.283527,0.0709637
0.283607,0.0790383
0.283688,0.0586104
0.283768,0.092003
0.283849,0.0978872
0.28393,0.130694
0.28401,0.101257
0.284091,0.0800085
0.284172,0.0530763
0.284252,0.102272
0.284333,0.0664775
0.284414,0.0438984
0.284495,0.0350493
0.284576,0.0576389
0.284657,0.0350144
0.284738,0.0354323
0.284819,0.0433533
0.2849,0.025701
0.284981,0.0249081
0.285063,0.0177023
0.285144,0.0162261
0.285225,0.00814077
0.285307,0.00246585
0.285388,0.0107209
0.28547,0.0155204
0.285551,0.0249572
0.285633,0.0259542
0.285714,0.03234
0.285796,0.038563
0.285878,0.0536745
0.285959,0.0417388
0.286041,0.0830608
0.286123,0.0871518
0.286205,0.0720054
0.286287,0.0940469
0.286369,0.088157
0.286451,0.0752552
0.286533,0.187805
0.286615,0.061725
0.286697,0.0917412
0.286779,0.0716491
0.286862,0.103529
0.286944,0.112204
0.287026,0.111128
0.287109,0.177408
0.287191,0.183053
0.287274,0.198725
0.287356,0.18885
0.287439,0.103614
0.287522,0.198588
