wavelength_um,radiance_w_m2_sr_um
0.25,0.0157235
0.25006,0.0148167
0.25013,0.0151036
0.25019,0.00381676
0.25025,0.014056
0.25031,0.0115299
0.25038,0.015783
0.25044,0.0119432
0.2505,0.0118074
0.25056,0.00965271
0.25063,0.0140025
0.25069,0.00438711
0.25075,0.00310948
0.25082,0.00863717
0.25088,0.00979937
0.25094,0.0143277
0.251,0.0177299
0.25107,0.0114972
0.25113,0.00613133
0.25119,0.0052957
0.25126,0.00817039
0.25132,0.00741525
0.25138,0.0137117
0.25145,0.0082248
0.25151,0.00327267
0.25157,0.00813194
0.25164,0.00691221
0.2517,0.00213297
0.25176,0.00714828
0.25183,0.00466474
0.25189,0.00345272
0.25195,0.00723234
0.25202,0.00373996
0.25208,0.0129635
0.25214,0.00800509
0.25221,0.00893792
0.25227,0.00440319
0.25233,0.00304333
0.2524,0.00451482
0.25246,0.00505632
0.25253,0.00286523
0.25259,0.00667286
0.25265,0.00729164
0.25272,0.00574284
0.25278,0.00462426
0.25284,0.00360953
0.25291,0.00353702
0.25297,0.00317874
0.25304,0.00384559
0.2531,0.00389606
0.25316,0.00590623
0.25323,0.00878824
0.25329,0.00700841
0.25336,0.0136638
0.25342,0.0144783
0.25349,0.00772645
0.25355,0.00976394
0.25361,0.00626854
0.25368,0.00483004
0.25374,0.00513295
0.25381,0.0113702
0.25387,0.0107806
0.25394,0.00523745
0.254,0.00311659
0.25407,0.00907197
0.25413,0.00881561
0.25419,0.0062282
0.25426,0.00867836
0.25432,0.00824043
0.25439,0.0199044
0.25445,0.00830769
0.25452,0.0177723
0.25458,0.010303
0.25465,0.00567647
0.25471,0.00738071
0.25478,0.0142711
0.25484,0.0157876
0.25491,0.0074624
0.25497,0.0101966
0.25504,0.00268843
0.2551,0.0252459
0.25517,0.00596129
0.25523,0.0165177
0.2553,0.0326812
0.25536,0.0124048
0.25543,0.00763298
0.25549,0.0504449
0.25556,0.0216289
0.25562,0.0283816
0.25569,0.0301557
0.25575,0.0258026
0.25582,0.00594189
0.25589,0.0454278
0.25595,0.0351364
0.25602,0.0298247
0.25608,0.00984949
0.25615,0.00735954
0.25621,0.0210318
0.25628,0.00888284
0.25634,0.00667324
0.25641,0.0070646
0.25648,0.0182284
0.25654,0.0173948
0.25661,0.0290849
0.25667,0.0260627
0.25674,0.0125056
0.25681,0.0244362
0.25687,0.0334439
0.25694,0.011706
0.257,0.057904
0.25707,0.0593887
0.25714,0.0566719
0.2572,0.0514256
0.25727,0.0397414
0.25733,0.0372825
0.2574,0.0130677
0.25747,0.0387113
0.25753,0.0201955
0.2576,0.0171103
0.25767,0.0103489
0.25773,0.00911498
0.2578,0.0227502
0.25786,0.0136098
0.25793,0.0215534
0.258,0.0151583
0.25806,0.0487139
0.25813,0.0248337
0.2582,0.0793838
0.25826,0.0480942
0.25833,0.00785637
0.2584,0.023765
0.25846,0.0212809
0.25853,0.00832254
0.2586,0.00792042
0.25867,0.00205021
0.25873,0.0090932
0.2588,0.0203979
0.25887,0.021427
0.25893,0.0167112
0.259,0.0510592
0.25907,0.0626635
0.25913,0.0236223
0.2592,0.0273396
0.25927,0.0167091
0.25934,0.0261414
0.2594,0.0175588
0.25947,0.00903577
0.25954,0.014979
0.25961,0.0172025
0.25967,0.0226536
0.25974,0.0187386
0.25981,0.0143504
0.25988,0.00579396
0.25994,0.00328495
0.26001,0.0011501
0.26008,0.00460294
0.26015,0.00957829
0.26021,0.0172606
0.26028,0.0275914
0.26035,0.0239606
0.26042,0.0242588
0.26048,0.0248048
0.26055,0.0273207
0.26062,0.00961798
0.26069,0.0122565
0.26076,0.00368243
0.26082,0.00704484
0.26089,0.0159645
0.26096,0.0214141
0.26103,0.029661
0.2611,0.0144761
0.26116,0.00940568
0.26123,0.0044249
0.2613,0.0053464
0.26137,0.00945864
0.26144,0.00497726
0.26151,0.00841002
0.26157,0.0209474
0.26164,0.0282417
0.26171,0.0224989
0.26178,0.0154636
0.26185,0.00324858
0.26192,0.010745
0.26199,0.0195356
0.26205,0.0337978
0.26212,0.0131848
0.26219,0.0226596
0.26226,0.00956233
0.26233,0.0414447
0.2624,0.0249021
0.26247,0.0306022
0.26254,0.0311734
0.26261,0.00938591
0.26267,0.00783007
0.26274,0.016598
0.26281,0.0190085
0.26288,0.00745609
0.26295,0.0085581
0.26302,0.0166437
0.26309,0.0109613
0.26316,0.00546733
0.26323,0.00330495
0.2633,0.00815888
0.26337,0.0136284
