wavelength_um,radiance_w_m2_sr_um
0.25,0.0140512
0.25006,0.0132416
0.25013,0.0134981
0.25019,0.00341209
0.25025,0.0125653
0.25031,0.0103107
0.25038,0.0141153
0.25044,0.0106809
0.2505,0.0105617
0.25056,0.00863344
0.25063,0.0125246
0.25069,0.00392471
0.25075,0.00278105
0.25082,0.0077254
0.25088,0.00876189
0.25094,0.0128127
0.251,0.0158515
0.25107,0.0102792
0.25113,0.00548074
0.25119,0.00473482
0.25126,0.00730268
0.25132,0.00662553
0.25138,0.01225
0.25145,0.00734669
0.25151,0.00292235
0.25157,0.00725973
0.25164,0.00616951
0.2517,0.0019041
0.25176,0.00638088
0.25183,0.00416441
0.25189,0.00308234
0.25195,0.00645853
0.25202,0.00334052
0.25208,0.0115798
0.25214,0.00715365
0.25221,0.00798555
0.25227,0.00393431
0.25233,0.002719
0.2524,0.00403433
0.25246,0.0045202
0.25253,0.00256118
0.25259,0.00596269
0.25265,0.00651554
0.25272,0.00513204
0.25278,0.00413238
0.25284,0.00322534
0.25291,0.00315977
0.25297,0.00283965
0.25304,0.00343577
0.2531,0.00347879
0.25316,0.00527571
0.25323,0.00784993
0.25329,0.0062635
0.25336,0.0122073
0.25342,0.0129316
0.25349,0.00690195
0.25355,0.00872112
0.25361,0.00559859
0.25368,0.00431274
0.25374,0.00458375
0.25381,0.0101522
0.25387,0.0096256
0.25394,0.00467748
0.254,0.00278272
0.25407,0.00810205
0.25413,0.00787432
0.25419,0.00556378
0.25426,0.00775243
0.25432,0.00736332
0.25439,0.017789
0.25445,0.00742546
0.25452,0.015886
0.25458,0.00921109
0.25465,0.00507521
0.25471,0.00659708
0.25478,0.0127548
0.25484,0.0141078
0.25491,0.00666645
0.25497,0.00910572
0.25504,0.00240109
0.2551,0.0225413
0.25517,0.00532147
0.25523,0.0147374
0.2553,0.0291616
0.25536,0.0110721
0.25543,0.00681253
0.25549,0.0450279
0.25556,0.0193122
0.25562,0.0253483
0.25569,0.0269329
0.25575,0.0230507
0.25582,0.00530806
0.25589,0.0405866
0.25595,0.0313904
0.25602,0.0266499
0.25608,0.00880324
0.25615,0.00657722
0.25621,0.0188
0.25628,0.00794023
0.25634,0.00596681
0.25641,0.00631825
0.25648,0.0163069
0.25654,0.0155547
0.25661,0.0260036
0.25667,0.0233062
0.25674,0.0111814
0.25681,0.0218525
0.25687,0.0299005
0.25694,0.0104624
0.257,0.0517525
0.25707,0.0530786
0.25714,0.050639
0.2572,0.0459609
0.25727,0.0355201
0.25733,0.0333244
0.2574,0.0116816
0.25747,0.0346081
0.25753,0.0180559
0.2576,0.0153034
0.25767,0.00925508
0.25773,0.00815253
0.2578,0.0203428
0.25786,0.0121729
0.25793,0.0192761
0.258,0.0135605
0.25806,0.0435709
0.25813,0.0222058
0.2582,0.0709764
0.25826,0.0429951
0.25833,0.00702172
0.2584,0.0212279
0.25846,0.019007
0.25853,0.00743218
0.2586,0.00707106
0.25867,0.00183066
0.25873,0.0081213
0.2588,0.0182181
0.25887,0.0191424
0.25893,0.0149318
0.259,0.0456314
0.25907,0.0560079
0.25913,0.0211204
0.2592,0.0244609
0.25927,0.0149552
0.25934,0.0234027
0.2594,0.0157234
0.25947,0.00809451
0.25954,0.0134201
0.25961,0.0154131
0.25967,0.0203
0.25974,0.0167954
0.25981,0.0128609
0.25988,0.00519177
0.25994,0.00294307
0.26001,0.00103023
0.26008,0.00412202
0.26015,0.00857841
0.26021,0.0154469
0.26028,0.0246776
0.26035,0.0214334
0.26042,0.0216902
0.26048,0.0221769
0.26055,0.0244202
0.26062,0.00859638
0.26069,0.0109554
0.26076,0.00329241
0.26082,0.00630161
0.26089,0.0142819
0.26096,0.019163
0.26103,0.0265466
0.2611,0.0129648
0.26116,0.008427
0.26123,0.00396579
0.2613,0.00479307
0.26137,0.0084808
0.26144,0.004463
0.26151,0.00753998
0.26157,0.0187814
0.26164,0.025323
0.26171,0.0201717
0.26178,0.0138634
0.26185,0.00291196
0.26192,0.00963017
0.26199,0.0175076
0.26205,0.0302839
0.26212,0.0118132
0.26219,0.0202928
0.26226,0.00856466
0.26233,0.0371115
0.2624,0.022298
0.26247,0.0274015
0.26254,0.0279236
0.26261,0.00840569
0.26267,0.00701625
0.26274,0.0148771
0.26281,0.0170438
0.26288,0.00668814
0.26295,0.00768107
0.26302,0.0149437
0.26309,0.00984363
0.26316,0.00491068
0.26323,0.00296955
