log_file,spectrum_file,opa_wavelength_nm,type,photodiode,forebaffle
ERF_Log_File_20250221_1606.csv,CCS200_Spectrum_1424214184.csv,600,1d,0,1
ERF_Log_File_20250221_1644.csv,CCS200_Spectrum_1424216548.csv,900,1d,0,1
ERF_Log_File_20250224_0930.csv,CCS200_Spectrum_1424445911.csv,900,1d,0,1
ERF_Log_File_20250224_0959.csv,CCS200_Spectrum_1424445911.csv,900,1d,0,1
ERF_Log_File_20250224_1022.csv,CCS200_Spectrum_1424445911.csv,900,1d,0,1
ERF_Log_File_20250224_1102.csv,CCS200_Spectrum_1424455215.csv,700,1d,0,1
ERF_Log_File_20250224_1129.csv,CCS200_Spectrum_1424455215.csv,700,1d,0,1
ERF_Log_File_20250224_1200.csv,CCS200_Spectrum_1424458552.csv,600,1d,0,1
ERF_Log_File_20250224_1231.csv,CCS200_Spectrum_1424458552.csv,600,1d,0,1
ERF_Log_File_20250224_1300.csv,CCS200_Spectrum_1424462312.csv,400,1d,0,1
ERF_Log_File_20250224_1326.csv,CCS200_Spectrum_1424462312.csv,400,1d,0,1
ERF_Log_File_20250224_1358.csv,CCS200_Spectrum_1424465765.csv,450,1d,0,1
ERF_Log_File_20250224_1425.csv,CCS200_Spectrum_1424465765.csv,450,1d,0,1
ERF_Log_File_20250224_1456.csv,CCS200_Spectrum_1424469275.csv,530,1d,0,1
ERF_Log_File_20250224_1519.csv,CCS200_Spectrum_1424469275.csv,530,1d,0,1
ERF_Log_File_20250224_1611.csv,CCS200_Spectrum_1424473283.csv,600,1d,0,1
ERF_Log_File_20250224_1634.csv,CCS200_Spectrum_1424473283.csv,600,1d,0,1
ERF_Log_File_20250224_1718.csv,CCS200_Spectrum_1424477722.csv,565,1d,0,1
ERF_Log_File_20250224_1747.csv,CCS200_Spectrum_1424477722.csv,565,1d,0,1
ERF_Log_File_20250225_0805.csv,CCS200_Spectrum_1424530836.csv,547,1d,0,1
ERF_Log_File_20250225_0828.csv,CCS200_Spectrum_1424530836.csv,547,1d,0,1
ERF_Log_File_20250225_1036.csv,CCS200_Spectrum_1424530836.csv,547,2d,0,1
ERF_Log_File_20250225_1121.csv,CCS200_Spectrum_1424530836.csv,547,2d,0,1
ERF_Log_File_20250225_1214.csv,CCS200_Spectrum_1424545872.csv,600,2d,0,1
ERF_Log_File_20250225_1301.csv,CCS200_Spectrum_1424545872.csv,600,2d,0,1
ERF_Log_File_20250225_1359.csv,CCS200_Spectrum_1424551879.csv,547,2d,0,1
ERF_Log_File_20250225_1506.csv,CCS200_Spectrum_1424551879.csv,547,2d,0,1
ERF_Log_File_20250225_1715.csv,CCS200_Spectrum_1424564136.csv,900,2d,0,1
ERF_Log_File_20250225_1822.csv,CCS200_Spectrum_1424564136.csv,900,2d,0,1
ERF_Log_File_20250226_0900.csv,CCS200_Spectrum_1424620576.csv,400,2d,0,1
ERF_Log_File_20250226_1006.csv,CCS200_Spectrum_1424620576.csv,400,2d,0,1
ERF_Log_File_20250226_1134.csv,CCS200_Spectrum_1424630047.csv,474,2d,0,1
ERF_Log_File_20250226_1253.csv,CCS200_Spectrum_1424635509.csv,360,1d,0,1
ERF_Log_File_20250226_1420.csv,ERF_OSA207_Spectra_20250226_1408.csv,2500,1d,0,1
ERF_Log_File_20250226_1448.csv,ERF_OSA207_Spectra_20250226_1446.csv,2400,1d,0,1
ERF_Log_File_20250226_1542.csv,ERF_OSA207_Spectra_20250226_1446.csv,2400,1d,0,1
ERF_Log_File_20250226_1607.csv,ERF_OSA207_Spectra_20250226_1446.csv,2400,1d,0,1
ERF_Log_File_20250226_1643.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,2d,0,1
ERF_Log_File_20250226_1750.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,2d,0,1
ERF_Log_File_20250226_1857.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,2d,0,1
ERF_Log_File_20250226_2009.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,1d,0,1
ERF_Log_File_20250226_2041.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,1d,0,1
ERF_Log_File_20250226_2105.csv,ERF_OSA207_Spectra_20250226_1639.csv,2200,1d,0,1
ERF_Log_File_20250227_1034.csv,ERF_OSA207_Spectra_20250227_0842.csv,1550,2d,0,1
ERF_Log_File_20250227_1148.csv,ERF_OSA207_Spectra_20250227_0842.csv,1550,2d,0,1
ERF_Log_File_20250227_1255.csv,ERF_OSA207_Spectra_20250227_0842.csv,1550,2d,0,1
ERF_Log_File_20250227_1422.csv,ERF_OSA207_Spectra_20250227_1419.csv,1200,1d,0,1
ERF_Log_File_20250227_1445.csv,ERF_OSA207_Spectra_20250227_1419.csv,1200,1d,0,1
ERF_Log_File_20250227_1509.csv,ERF_OSA207_Spectra_20250227_1419.csv,1200,1d,0,1
ERF_Log_File_20250227_1543.csv,CCS200_Spectrum_1424731277.csv,800,1d,0,1
ERF_Log_File_20250227_1634.csv,CCS200_Spectrum_1424731277.csv,800,1d,0,1
ERF_Log_File_20250227_1659.csv,CCS200_Spectrum_1424731277.csv,800,1d,0,1
