wavelength_um,SW,uc_SW,Total,uc_Total,LW,uc_LW,SSW,uc_SSW
0.26,0.0492962,0.00379005,0.0560829,0.00378446,-2.38542e-05,0.00375849,6.45037e-05,0.00376871
0.260207,0.0487697,0.00377406,0.0554531,0.00376844,-2.36921e-05,0.00374304,6.4251e-05,0.00375343
0.260415,0.0482427,0.00375804,0.0548224,0.0037524,-2.35302e-05,0.00372754,6.39984e-05,0.00373809
0.260623,0.0477153,0.00374208,0.0541909,0.00373641,-2.33683e-05,0.00371204,6.3746e-05,0.00372276
0.260831,0.0471875,0.00372617,0.0535589,0.00372049,-2.32066e-05,0.00369656,6.34938e-05,0.00370745
0.261039,0.0466596,0.00371031,0.0529265,0.00370462,-2.3045e-05,0.00368109,6.32416e-05,0.00369215
0.261247,0.0461315,0.00369452,0.052294,0.00368881,-2.28835e-05,0.00366564,6.29897e-05,0.00367687
0.261455,0.0456035,0.00367878,0.0516613,0.00367307,-2.27222e-05,0.0036502,6.27378e-05,0.0036616
0.261664,0.0450756,0.00366302,0.0510288,0.00365732,-2.2561e-05,0.00363469,6.24862e-05,0.00364626
0.261873,0.0445479,0.00364733,0.0503966,0.00364163,-2.23999e-05,0.00361921,6.22347e-05,0.00363095
0.262081,0.0440206,0.00363176,0.0497649,0.00362607,-2.22389e-05,0.00360381,6.19833e-05,0.00361572
0.262291,0.0434937,0.00361611,0.0491338,0.00361043,-2.20781e-05,0.00358827,6.17321e-05,0.00360036
0.2625,0.0429673,0.00360058,0.0485036,0.00359493,-2.19174e-05,0.00357283,6.14811e-05,0.00358508
0.262709,0.0424416,0.00358512,0.0478743,0.00357949,-2.17568e-05,0.00355739,6.12303e-05,0.00356982
0.262919,0.0419167,0.00356963,0.0472462,0.00356404,-2.15964e-05,0.0035419,6.09796e-05,0.0035545
0.263128,0.0413926,0.00355428,0.0466194,0.00354872,-2.14362e-05,0.00352649,6.07291e-05,0.00353927
0.263338,0.0408695,0.0035389,0.0459941,0.00353338,-2.1276e-05,0.00351103,6.04787e-05,0.00352398
0.263548,0.0403475,0.00352358,0.0453705,0.00351811,-2.11161e-05,0.00349557,6.02286e-05,0.0035087
0.263759,0.0398267,0.00350824,0.0447488,0.00350282,-2.09562e-05,0.00348006,5.99786e-05,0.00349337
0.263969,0.0393071,0.00349301,0.044129,0.00348765,-2.07966e-05,0.00346464,5.97288e-05,0.00347812
0.26418,0.038789,0.00347776,0.0435115,0.00347247,-2.0637e-05,0.00344915,5.94791e-05,0.00346281
0.26439,0.0382724,0.00346268,0.0428963,0.00345745,-2.04777e-05,0.00343388,5.92297e-05,0.0034476
0.264601,0.0377573,0.00344757,0.0422836,0.0034424,-2.03185e-05,0.00341855,5.89804e-05,0.00343234
0.264812,0.0372441,0.0034325,0.0416737,0.0034274,-2.01594e-05,0.00340324,5.87314e-05,0.00341708
0.265024,0.0367326,0.00341738,0.0410666,0.00341237,-2.00005e-05,0.00338787,5.84825e-05,0.00340177
0.265235,0.0362231,0.00340238,0.0404626,0.00339744,-1.98418e-05,0.00337258,5.82338e-05,0.00338655
0.265447,0.0357156,0.00338733,0.0398618,0.00338248,-1.96832e-05,0.00335724,5.79854e-05,0.00337127
0.265658,0.0352103,0.00337237,0.0392643,0.00336761,-1.95248e-05,0.00334198,5.77371e-05,0.00335607
0.26587,0.0347072,0.00335737,0.0386705,0.0033527,-1.93665e-05,0.00332666,5.7489e-05,0.00334082
0.266082,0.0342065,0.00334238,0.0380803,0.00333781,-1.92085e-05,0.00331136,5.72411e-05,0.00332558
0.266295,0.0337082,0.00332733,0.0374941,0.00332287,-1.90506e-05,0.003296,5.69934e-05,0.00331028
0.266507,0.0332125,0.00331236,0.036912,0.00330801,-1.88928e-05,0.00328073,5.6746e-05,0.00329507
0.26672,0.0327196,0.00329733,0.0363341,0.00329309,-1.87353e-05,0.00326539,5.64987e-05,0.00327981
0.266932,0.0322294,0.00328237,0.0357606,0.00327824,-1.85779e-05,0.00325015,5.62517e-05,0.00326462
0.267145,0.0317421,0.00326734,0.0351917,0.00326333,-1.84207e-05,0.00323484,5.60049e-05,0.00324939
0.267358,0.0312578,0.0032523,0.0346275,0.00324841,-1.82637e-05,0.00321955,5.57583e-05,0.00323416
0.267572,0.0307766,0.00323718,0.0340683,0.00323341,-1.81069e-05,0.0032042,5.55119e-05,0.00321888
0.267785,0.0302986,0.00322212,0.0335142,0.00321847,-1.79502e-05,0.00318894,5.52657e-05,0.00320369
0.267999,0.0298239,0.00320697,0.0329654,0.00320345,-1.77938e-05,0.00317362,5.50198e-05,0.00318844
0.268213,0.0293527,0.0031918,0.0324221,0.0031884,-1.76375e-05,0.00315832,5.47741e-05,0.0031732
0.268426,0.028885,0.00317667,0.0318843,0.00317341,-1.74814e-05,0.0031431,5.45286e-05,0.00315805
0.268641,0.028421,0.00316133,0.0313523,0.00315825,-1.73255e-05,0.00312745,5.42833e-05,0.00314276
0.268855,0.0279607,0.00314603,0.0308263,0.00314313,-1.71698e-05,0.00311183,5.40383e-05,0.00312754
0.269069,0.0275043,0.00313069,0.0303065,0.00312798,-1.70143e-05,0.00309623,5.37935e-05,0.00311234
0.269284,0.0270518,0.00311524,0.0297928,0.00311273,-1.6859e-05,0.00308059,5.3549e-05,0.00309709
0.269499,0.0266033,0.00309977,0.0292855,0.00309744,-1.67039e-05,0.00306496,5.33047e-05,0.00308184
0.269714,0.0261589,0.00308426,0.0287844,0.00308213,-1.6549e-05,0.00304935,5.30606e-05,0.00306662
