wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.65,1.39202,0.0660324,1.15926,0.0592951,1.00584,0.0547585
0.652902,1.3858,0.0653092,1.15428,0.0586333,1.00164,0.0541433
0.655816,1.37963,0.0645941,1.14932,0.0579787,0.997456,0.0535348
0.658744,1.37349,0.0638871,1.1444,0.0573311,0.993299,0.0529328
0.661684,1.36739,0.0631881,1.1395,0.0566905,0.989166,0.0523375
0.664638,1.36132,0.062497,1.13463,0.0560569,0.985058,0.0517486
0.667605,1.3553,0.0618138,1.12979,0.0554301,0.980974,0.0511661
0.670585,1.34931,0.0611384,1.12498,0.0548102,0.976914,0.05059
0.673578,1.34336,0.0604707,1.1202,0.0541969,0.972878,0.0500202
0.676585,1.33744,0.0598107,1.11545,0.0535904,0.968865,0.0494566
0.679605,1.33156,0.0591582,1.11072,0.0529905,0.964877,0.0488992
0.682639,1.32572,0.0585134,1.10603,0.0523972,0.960912,0.0483479
0.685686,1.31992,0.057876,1.10136,0.0518103,0.95697,0.0478026
0.688747,1.31415,0.057246,1.09673,0.05123,0.953052,0.0472633
0.691822,1.30842,0.0566234,1.09212,0.050656,0.949157,0.0467299
0.69491,1.30272,0.056008,1.08753,0.0500883,0.945286,0.0462024
0.698012,1.29706,0.0554,1.08298,0.0495269,0.941437,0.0456808
0.701128,1.29144,0.054799,1.07845,0.0489718,0.937612,0.0451649
0.704258,1.28585,0.0542053,1.07396,0.0484228,0.93381,0.0446547
0.707401,1.2803,0.0536185,1.06949,0.0478799,0.93003,0.0441501
0.710559,1.27478,0.0530388,1.06504,0.0473431,0.926274,0.0436511
0.713731,1.26929,0.052466,1.06063,0.0468123,0.92254,0.0431577
0.716917,1.26384,0.0519001,1.05624,0.0462875,0.918828,0.0426698
0.720117,1.25843,0.051341,1.05188,0.0457686,0.915139,0.0421873
0.723332,1.25305,0.0507887,1.04754,0.0452555,0.911473,0.0417102
0.726561,1.24771,0.0502432,1.04324,0.0447483,0.907828,0.0412384
0.729804,1.24239,0.0497042,1.03896,0.0442468,0.904206,0.0407719
0.733062,1.23712,0.0491719,1.0347,0.043751,0.900606,0.0403107
0.736334,1.23187,0.0486461,1.03047,0.0432609,0.897028,0.0398547
0.739621,1.22666,0.0481268,1.02627,0.0427764,0.893472,0.0394038
0.742923,1.22149,0.0476139,1.0221,0.0422974,0.889938,0.0389579
0.746239,1.21635,0.0471074,1.01795,0.041824,0.886426,0.0385172
0.74957,1.21124,0.0466072,1.01383,0.0413561,0.882935,0.0380814
0.752916,1.20616,0.0461133,1.00973,0.0408936,0.879466,0.0376506
0.756277,1.20112,0.0456256,1.00566,0.0404365,0.876018,0.0372248
0.759653,1.19611,0.0451441,1.00162,0.0399847,0.872592,0.0368038
0.763044,1.19113,0.0446686,0.997598,0.0395383,0.869187,0.0363876
0.76645,1.18618,0.0441992,0.993605,0.0390971,0.865803,0.0359762
0.769872,1.18127,0.0437358,0.989636,0.0386611,0.86244,0.0355695
0.773309,1.17639,0.0432784,0.985693,0.0382303,0.859098,0.0351676
0.776761,1.17154,0.0428268,0.981776,0.0378046,0.855778,0.0347703
0.780228,1.16672,0.042381,0.977883,0.037384,0.852478,0.0343776
0.783711,1.16194,0.0419411,0.974015,0.0369685,0.849199,0.0339896
0.787209,1.15718,0.0415068,0.970173,0.0365579,0.84594,0.033606
0.790723,1.15246,0.0410782,0.966354,0.0361524,0.842702,0.033227
0.794253,1.14777,0.0406553,0.962561,0.0357518,0.839485,0.0328524
0.797798,1.14311,0.0402379,0.958792,0.035356,0.836288,0.0324823
0.80136,1.13848,0.039826,0.955047,0.0349651,0.833111,0.0321165
0.804937,1.13388,0.0394196,0.951327,0.0345791,0.829954,0.0317551
0.80853,1.12932,0.0390186,0.947631,0.0341978,0.826818,0.031398
0.812139,1.12478,0.038623,0.943959,0.0338212,0.823701,0.0310452
0.815765,1.12027,0.0382326,0.94031,0.0334494,0.820605,0.0306967
0.819406,1.11579,0.0378475,0.936686,0.0330822,0.817529,0.0303523
0.823064,1.11135,0.0374676,0.933086,0.0327196,0.814472,0.0300121
0.826738,1.10693,0.0370929,0.929509,0.0323616,0.811435,0.0296761
0.830429,1.10254,0.0367233,0.925955,0.0320082,0.808417,0.0293442
0.834136,1.09819,0.0363587,0.922425,0.0316593,0.805419,0.0290163
0.837859,1.09386,0.0359991,0.918918,0.0313149,0.802441,0.0286925
0.841599,1.08956,0.0356444,0.915435,0.0309749,0.799482,0.0283727
0.845356,1.08529,0.0352947,0.911974,0.0306393,0.796542,0.0280569
0.84913,1.08105,0.0349498,0.908537,0.0303081,0.793621,0.0277451
0.85292,1.07684,0.0346096,0.905123,0.0299812,0.79072,0.0274371
0.856728,1.07266,0.0342743,0.901731,0.0296586,0.787837,0.027133
0.860552,1.06851,0.0339436,0.898362,0.0293403,0.784974,0.0268328
0.864393,1.06438,0.0336175,0.895015,0.0290263,0.782129,0.0265364
0.868252,1.06028,0.0332961,0.891691,0.0287164,0.779303,0.0262438
0.872128,1.05622,0.0329792,0.888389,0.0284106,0.776496,0.025955
0.876021,1.05218,0.0326668,0.88511,0.0281091,0.773707,0.0256698
0.879931,1.04816,0.0323588,0.881853,0.0278115,0.770937,0.0253884
0.883859,1.04418,0.0320553,0.878617,0.0275181,0.768185,0.0251107
0.887805,1.04022,0.0317561,0.875404,0.0272287,0.765452,0.0248366
0.891768,1.03629,0.0314611,0.872213,0.0269432,0.762737,0.0245661
0.895749,1.03239,0.0311705,0.869043,0.0266618,0.76004,0.0242992
0.899747,1.02852,0.030884,0.865895,0.0263842,0.757361,0.0240359
0.903764,1.02467,0.0306017,0.862768,0.0261105,0.7547,0.0237761
0.907798,1.02085,0.0303235,0.859663,0.0258407,0.752058,0.0235198
0.91185,1.01705,0.0300494,0.85658,0.0255747,0.749433,0.0232669
0.915921,1.01329,0.0297793,0.853517,0.0253125,0.746825,0.0230175
0.920009,1.00955,0.0295131,0.850476,0.025054,0.744236,0.0227716
0.924116,1.00583,0.0292509,0.847455,0.0247992,0.741664,0.022529
0.928241,1.00215,0.0289925,0.844456,0.0245482,0.73911,0.0222898
