log_file,gps_time_s,type,photodiode,detector_index,l,l_sd,npts,monitor,manip_x_mm,manip_y_mm,manip_pitch_deg,manip_yaw_deg,wavelength_um,opa_wavelength_um,rad_angle_deg,signal,l_center,l_center_sd,det_name,signal_uc,azimuth_deg,wavenum
ERF_Log_File_20250227_2136,1424752608,1d,0,1,-0.0008813848797,0.004928395859,3,2.452808857,0,0,0,-8,0.751,0.75,8,-2.450436209e-06,359.6848905,0.8803111227,SSW,1.206860653e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752628,1d,0,1,0.004368368932,0.003314068701,3,2.45369,0,0,0,-7.6,0.751,0.75,7.6,1.21449887e-05,359.6848905,0.8803111227,SSW,1.212712136e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752648,1d,0,1,0.01037609428,0.004274326899,3,2.453311143,0,0,0,-7.2,0.751,0.75,7.2,2.884773466e-05,359.6848905,0.8803111227,SSW,1.240637272e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752668,1d,0,1,0.009751199283,0.004812564452,3,2.453916286,0,0,0,-6.8,0.751,0.75,6.8,2.711039451e-05,359.6848905,0.8803111227,SSW,1.236710632e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752689,1d,0,1,0.01839557964,0.00295543342,3,2.454293143,0,0,0,-6.4,0.751,0.75,6.4,5.114359852e-05,359.6848905,0.8803111227,SSW,1.310585846e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752709,1d,0,1,0.01382511346,0.004777077151,3,2.453940571,0,0,0,-6,0.751,0.75,6,3.843673678e-05,359.6848905,0.8803111227,SSW,1.266388006e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752729,1d,0,1,0.02420362312,0.003683110161,3,2.453027143,0,0,0,-5.6,0.751,0.75,5.6,6.729118668e-05,359.6848905,0.8803111227,SSW,1.381663283e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752749,1d,0,1,0.03048365954,0.004315369096,3,2.453789714,0,0,0,-5.2,0.751,0.75,5.2,8.475101497e-05,359.6848905,0.8803111227,SSW,1.474657762e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752769,1d,0,1,0.03773774798,0.0032827341,3,2.452870286,0,0,0,-4.8,0.751,0.75,4.8,0.0001049189137,359.6848905,0.8803111227,SSW,1.599177613e-05,-90,13315.57923
ERF_Log_File_20250227_2136,1424752789,1d,0,1,0.04160458555,0.004898795634,3,2.453258857,0,0,0,-4.4,0.751,0.75,4.4,0.0001156695392,359.6848905,0.8803111227,SSW,1.671722906e-05,-90,13315.57923
