wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.25,19.2524,1.1237,17.5791,1.0212,14.69,0.864623
0.251505,18.9643,1.0979,17.3665,1.00263,14.6488,0.854467
0.25302,18.6781,1.07233,17.1497,0.983964,14.596,0.843689
0.254543,18.3939,1.04702,16.9292,0.96522,14.532,0.832361
0.256076,18.1117,1.02198,16.7056,0.946406,14.4571,0.820551
0.257618,17.8317,0.99723,16.4793,0.927532,14.3717,0.808327
0.259169,17.554,0.972786,16.2507,0.908611,14.2764,0.795752
0.26073,17.2786,0.948662,16.0203,0.889656,14.1715,0.782883
0.2623,17.0057,0.924872,15.7884,0.870683,14.0576,0.769774
0.263879,16.7353,0.901428,15.5554,0.851705,13.9352,0.756469
0.265468,16.4674,0.878341,15.3217,0.832741,13.8048,0.743008
0.267067,16.2021,0.85562,15.0876,0.813807,13.6669,0.729423
0.268675,15.9396,0.833272,14.8534,0.794921,13.5222,0.71574
0.270293,15.6797,0.811305,14.6195,0.776101,13.371,0.70198
0.27192,15.4226,0.789722,14.3861,0.757368,13.2141,0.68816
0.273558,15.1682,0.768527,14.1534,0.738739,13.0519,0.674294
0.275205,14.9167,0.747723,13.9217,0.720233,12.8849,0.660393
0.276862,14.668,0.72731,13.6912,0.701869,12.7137,0.646465
0.278529,14.4222,0.707289,13.4621,0.683666,12.5387,0.632519
0.280207,14.1792,0.687659,13.2346,0.665641,12.3606,0.618563
0.281894,13.9391,0.66842,13.0088,0.647812,12.1797,0.604604
0.283591,13.702,0.649568,12.7849,0.630195,11.9965,0.590652
0.285299,13.4678,0.631103,12.563,0.612807,11.8114,0.576715
0.287017,13.2364,0.613022,12.3431,0.595661,11.6249,0.562803
0.288745,13.0081,0.595322,12.1256,0.578772,11.4374,0.548927
0.290484,12.7826,0.578001,11.9103,0.562153,11.2491,0.535099
0.292233,12.5601,0.561055,11.6974,0.545816,11.0606,0.521331
0.293993,12.3406,0.54448,11.487,0.529771,10.8719,0.507637
0.295763,12.124,0.528274,11.2791,0.514028,10.6836,0.494029
0.297544,11.9103,0.512434,11.0738,0.498595,10.4958,0.480523
0.299336,11.6995,0.496955,10.8711,0.483477,10.3088,0.467132
0.301138,11.4917,0.481834,10.6711,0.468681,10.1228,0.453871
0.302951,11.2868,0.467067,10.4737,0.45421,9.93805,0.440755
0.304776,11.0848,0.45265,10.2791,0.440065,9.75471,0.427797
0.306611,10.8857,0.43858,10.0871,0.426248,9.57296,0.415011
0.308457,10.6895,0.424853,9.89795,0.412759,9.39295,0.402411
0.310314,10.4962,0.411464,9.71151,0.399596,9.2148,0.390009
0.312183,10.3058,0.39841,9.52783,0.386758,9.03864,0.377818
0.314063,10.1183,0.385686,9.3469,0.374242,8.86457,0.365848
0.315954,9.93357,0.373289,9.16873,0.362045,8.69267,0.354109
0.317856,9.75172,0.361214,8.99332,0.350163,8.52303,0.342612
0.31977,9.57269,0.349457,8.82066,0.338594,8.3557,0.331365
0.321696,9.39647,0.338014,8.65074,0.327332,8.19074,0.320374
0.323633,9.22305,0.326879,8.48354,0.316375,8.0282,0.309646
0.325582,9.05241,0.31605,8.31907,0.305718,7.8681,0.299185
0.327542,8.88454,0.305522,8.15731,0.295357,7.71048,0.288994
0.329515,8.71941,0.29529,7.99824,0.285288,7.55536,0.279074
0.331499,8.55701,0.28535,7.84185,0.275505,7.40275,0.269428
0.333495,8.39732,0.275697,7.68813,0.266006,7.25267,0.260053
0.335503,8.24032,0.266328,7.53704,0.256786,7.10511,0.250948
0.337523,8.08599,0.257236,7.38859,0.24784,6.96007,0.242111
0.339556,7.93432,0.248419,7.24274,0.239163,6.81756,0.233539
0.3416,7.78527,0.239872,7.09948,0.230753,6.67756,0.225228
0.343657,7.63884,0.231589,6.95878,0.222603,6.54007,0.217175
0.345727,7.49499,0.223567,6.82064,0.21471,6.40507,0.209376
0.347808,7.3537,0.215801,6.68501,0.20707,6.27255,0.201826
0.349903,7.21496,0.208287,6.55189,0.199677,6.14249,0.194521
0.35201,7.07874,0.20102,6.42125,0.192529,6.01488,0.187458
0.354129,6.94501,0.193995,6.29307,0.185619,5.88969,0.180631
0.356262,6.81375,0.187209,6.16731,0.178944,5.76691,0.174037
0.358407,6.68494,0.180656,6.04397,0.1725,5.64651,0.167671
0.360565,6.55855,0.174332,5.923,0.166282,5.52847,0.161528
0.362736,6.43455,0.168233,5.8044,0.160285,5.41277,0.155605
0.364921,6.31293,0.162354,5.68813,0.154506,5.29938,0.149897
0.367118,6.19365,0.156691,5.57416,0.148939,5.18828,0.1444
0.369329,6.07669,0.15124,5.46247,0.143582,5.07944,0.13911
0.371552,5.96201,0.145995,5.35304,0.138428,4.97284,0.134021
0.37379,5.84961,0.140953,5.24584,0.133475,4.86845,0.129131
0.376041,5.73944,0.136109,5.14084,0.128717,4.76624,0.124434
0.378305,5.63148,0.131459,5.03801,0.124151,4.6662,0.119927
0.380583,5.5257,0.126998,4.93733,0.119771,4.56828,0.115605
0.382875,5.42208,0.122722,4.83876,0.115574,4.47246,0.111464
0.38518,5.32058,0.118626,4.74229,0.111556,4.37872,0.107499
0.387499,5.22118,0.114707,4.64787,0.107711,4.28702,0.103707
0.389833,5.12385,0.110959,4.55549,0.104036,4.19735,0.100083
0.39218,5.02856,0.107379,4.46512,0.100527,4.10966,0.0966226
0.394542,4.93528,0.103961,4.37672,0.0971778,4.02394,0.0933216
