log_file,gps_time_s,type,photodiode,detector_index,l,l_sd,npts,monitor,manip_x_mm,manip_y_mm,manip_pitch_deg,manip_yaw_deg,wavelength_um,opa_wavelength_um,rad_angle_deg,signal,l_center,l_center_sd,det_name,signal_uc,azimuth_deg,wavenum
ERF_Log_File_20250227_1801,1424739792,1d,0,4,-0.001946510786,0.009080593423,23,3.021210085,0,0,0,-10,0.36,0.36,10,-2.792211181e-05,69.71216217,0.02059846863,SW,0.000135299329,-90,27777.77778
ERF_Log_File_20250227_1801,1424739893,1d,0,4,0.002624660902,0.01149322596,23,3.022012766,0,0,0,-9,0.36,0.36,9,3.764997126e-05,69.71216217,0.02059846863,SW,0.0001353229,-90,27777.77778
ERF_Log_File_20250227_1801,1424739994,1d,0,4,0.00109783917,0.01069389264,23,3.022350383,0,0,0,-8,0.36,0.36,8,1.574817272e-05,69.71216217,0.02059846863,SW,0.0001352796806,-90,27777.77778
ERF_Log_File_20250227_1801,1424740095,1d,0,4,0.004212824546,0.0119090002,23,3.021168128,0,0,0,-7,0.36,0.36,7,6.043170108e-05,69.71216217,0.02059846863,SW,0.0001354054362,-90,27777.77778
ERF_Log_File_20250227_1801,1424740184,1d,0,4,0.007597308681,0.01085124262,17,3.019253486,0,0,0,-6,0.36,0.36,6,0.0001089811081,69.71216217,0.02059846863,SW,0.0001357088125,-90,27777.77778
ERF_Log_File_20250227_1801,1424740245,1d,0,4,0.007145459693,0.01095092411,9,3.019668105,0,0,0,-5,0.36,0.36,5,0.0001024994703,69.71216217,0.02059846863,SW,0.0001356582996,-90,27777.77778
ERF_Log_File_20250227_1801,1424740282,1d,0,4,0.2616495283,0.006633088091,5,3.018335455,0,0,0,-4,0.36,0.36,4,0.003753283791,69.71216217,0.02059846863,SW,0.0003989620709,-90,27777.77778
ERF_Log_File_20250227_1801,1424740307,1d,0,4,0.06974224609,0.01027158639,3,3.019382857,0,0,0,-3,0.36,0.36,3,0.001000431545,69.71216217,0.02059846863,SW,0.0001682463434,-90,27777.77778
ERF_Log_File_20250227_1801,1424740327,1d,0,4,0.1177281566,0.01245222806,3,3.019757143,0,0,0,-2.5,0.36,0.36,2.5,0.001688775,69.71216217,0.02059846863,SW,0.0002163746078,-90,27777.77778
ERF_Log_File_20250227_1801,1424740347,1d,0,4,0.2214673247,0.00665531559,3,3.018433429,0,0,0,-2,0.36,0.36,2,0.003176882166,69.71216217,0.02059846863,SW,0.000345289438,-90,27777.77778
ERF_Log_File_20250227_1801,1424740508,1d,0,4,0.2378094614,0.01037737695,3,3.02127,0,0,0,2,0.36,0.36,2,0.003411305202,69.71216217,0.02059846863,SW,0.0003669729686,90,27777.77778
ERF_Log_File_20250227_1801,1424740529,1d,0,4,0.1189546319,0.01009941892,3,3.018297143,0,0,0,2.5,0.36,0.36,2.5,0.001706368419,69.71216217,0.02059846863,SW,0.0002177505406,90,27777.77778
ERF_Log_File_20250227_1801,1424740549,1d,0,4,0.06781988378,0.008776115945,3,3.017484286,0,0,0,3,0.36,0.36,3,0.0009728558356,69.71216217,0.02059846863,SW,0.0001666213652,90,27777.77778
ERF_Log_File_20250227_1801,1424740574,1d,0,4,0.2718753912,0.006465045231,5,3.017593455,0,0,0,4,0.36,0.36,4,0.003899970719,69.71216217,0.02059846863,SW,0.000412791904,90,27777.77778
ERF_Log_File_20250227_1801,1424740611,1d,0,4,0.01358781089,0.01414436617,9,3.017751474,0,0,0,5,0.36,0.36,5,0.0001949130606,69.71216217,0.02059846863,SW,0.0001366675757,90,27777.77778
ERF_Log_File_20250227_1801,1424740672,1d,0,4,0.005706647617,0.009730890279,17,3.014645029,0,0,0,6,0.36,0.36,6,8.186014377e-05,69.71216217,0.02059846863,SW,0.0001355179816,90,27777.77778
ERF_Log_File_20250227_1801,1424740761,1d,0,4,0.0004557932062,0.01308320706,23,3.016804851,0,0,0,7,0.36,0.36,7,6.53821646e-06,69.71216217,0.02059846863,SW,0.000135272094,90,27777.77778
