wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
0.25,3.41845,0.0419274,2.47101,0.0361493,1.91945,0.0326092
0.252025,3.40323,0.0413452,2.46303,0.0356234,1.91491,0.0321368
0.254066,3.38791,0.0407718,2.45494,0.0351046,1.91027,0.0316695
0.256124,3.37248,0.0402068,2.44674,0.0345929,1.90554,0.0312075
0.258198,3.35694,0.0396503,2.43844,0.0340884,1.90072,0.0307507
0.26029,3.3413,0.0391021,2.43003,0.0335909,1.89581,0.0302992
0.262398,3.32556,0.038562,2.42153,0.0331005,1.89081,0.0298531
0.264523,3.30972,0.03803,2.41292,0.0326171,1.88571,0.0294123
0.266666,3.29379,0.0375059,2.40421,0.0321407,1.88053,0.0289769
0.268825,3.27776,0.0369897,2.39541,0.0316711,1.87525,0.0285469
0.271003,3.26164,0.0364811,2.38651,0.0312084,1.86989,0.0281223
0.273198,3.24543,0.0359801,2.37751,0.0307526,1.86445,0.0277032
0.275411,3.22914,0.0354866,2.36843,0.0303035,1.85891,0.0272895
0.277641,3.21276,0.0350004,2.35925,0.0298611,1.8533,0.0268813
0.27989,3.1963,0.0345215,2.34998,0.0294253,1.8476,0.0264785
0.282157,3.17976,0.0340496,2.34063,0.0289961,1.84181,0.0260812
0.284442,3.16315,0.0335848,2.33118,0.0285734,1.83595,0.0256893
0.286746,3.14646,0.0331268,2.32166,0.0281572,1.83,0.0253028
0.289069,3.12971,0.0326756,2.31205,0.0277473,1.82398,0.0249218
0.29141,3.11288,0.0322311,2.30235,0.0273436,1.81788,0.0245462
0.29377,3.09599,0.0317931,2.29258,0.0269462,1.8117,0.024176
0.29615,3.07903,0.0313616,2.28273,0.026555,1.80544,0.0238111
0.298548,3.06201,0.0309365,2.2728,0.0261698,1.79911,0.0234516
0.300966,3.04493,0.0305175,2.2628,0.0257905,1.7927,0.0230974
0.303404,3.0278,0.0301048,2.25272,0.0254172,1.78623,0.0227485
0.305861,3.01061,0.0296981,2.24257,0.0250497,1.77968,0.0224048
0.308339,2.99338,0.0292973,2.23235,0.0246878,1.77306,0.0220664
0.310836,2.97609,0.0289024,2.22206,0.0243317,1.76637,0.0217331
0.313354,2.95875,0.0285133,2.21171,0.0239811,1.75961,0.0214049
0.315892,2.94138,0.0281298,2.20129,0.023636,1.75279,0.0210818
0.31845,2.92396,0.027752,2.1908,0.0232963,1.7459,0.0207637
