log_file,gps_time_s,type,photodiode,detector_index,l,l_sd,npts,monitor,manip_x_mm,manip_y_mm,manip_pitch_deg,manip_yaw_deg,wavelength_um,opa_wavelength_um,rad_angle_deg,signal,l_center,l_center_sd,det_name,signal_uc,azimuth_deg,wavenum
ERF_Log_File_20250227_1737,1424738343,1d,0,3,-0.001641996636,0.005331485565,23,2.998350511,0,0,0,-10,0.36,0.36,10,-1.767420917e-05,92.90354212,0.01135968059,Total,5.836684517e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738445,1d,0,3,0.005670238814,0.006182025007,23,3.006157617,0,0,0,-9,0.36,0.36,9,6.103361276e-05,92.90354212,0.01135968059,Total,5.865846835e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738546,1d,0,3,0.0005507705761,0.00675171659,23,3.011005574,0,0,0,-8,0.36,0.36,8,5.928413099e-06,92.90354212,0.01135968059,Total,5.834309124e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738647,1d,0,3,-0.002179620678,0.00725235497,23,3.012476894,0,0,0,-7,0.36,0.36,7,-2.346111492e-05,92.90354212,0.01135968059,Total,5.838723389e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738736,1d,0,3,0.01282901734,0.006809046357,17,3.015624286,0,0,0,-6,0.36,0.36,6,0.000138089647,92.90354212,0.01135968059,Total,5.995208608e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738797,1d,0,3,0.01579015116,0.006255190742,9,3.015677684,0,0,0,-5,0.36,0.36,5,0.000169962854,92.90354212,0.01135968059,Total,6.076544235e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738834,1d,0,3,0.02913336391,0.004241211039,5,3.014658364,0,0,0,-4,0.36,0.36,4,0.0003135872244,92.90354212,0.01135968059,Total,6.623394732e-05,-90,27777.77778
ERF_Log_File_20250227_1737,1424738859,1d,0,3,0.09687972056,0.003159728444,3,3.018118286,0,0,0,-3,0.36,0.36,3,0.001042798997,92.90354212,0.01135968059,Total,0.0001194900773,-90,27777.77778
ERF_Log_File_20250227_1737,1424738879,1d,0,3,0.1645870399,0.003411989109,3,3.019467429,0,0,0,-2.5,0.36,0.36,2.5,0.001771590578,92.90354212,0.01135968059,Total,0.0001865179443,-90,27777.77778
ERF_Log_File_20250227_1737,1424738899,1d,0,3,0.3022871824,0.002768914139,3,3.019140857,0,0,0,-2,0.36,0.36,2,0.003253774565,92.90354212,0.01135968059,Total,0.0003305665021,-90,27777.77778
